Município,2013,2014,2015,2016,2017
Maranguape (CE),944.514,1.059.587,1.140.316,1.259.097,1.368.102
Marco (CE),207.680,248.602,261.287,272.481,312.089
Martinópole (CE),49.960,56.520,62.843,70.372,77.394
Massapê (CE),165.867,196.023,207.039,227.628,255.896
Mauriti (CE),251.363,316.347,316.619,336.676,371.102
Meruoca (CE),66.688,72.441,79.926,88.144,96.490
Milagres (CE),160.552,196.253,192.052,199.219,222.861
Milhã (CE),75.322,90.979,90.187,111.637,126.516
Miraíma (CE),58.155,67.366,73.043,77.371,86.790
Missão Velha (CE),204.972,297.139,502.539,330.808,616.402
Mombaça (CE),205.153,243.906,258.940,306.144,318.434
Monsenhor Tabosa (CE),83.661,100.418,106.164,121.232,126.566
Morada Nova (CE),629.723,639.399,692.613,753.413,842.433
Moraújo (CE),40.079,67.799,73.751,60.819,62.690
Morrinhos (CE),93.610,113.073,125.801,134.692,147.899
Mucambo (CE),68.813,77.239,83.003,93.881,96.768
Mulungu (CE),70.613,77.877,87.881,84.996,125.254
Nova Olinda (CE),96.906,121.364,123.904,117.841,141.025
Nova Russas (CE),197.935,235.284,247.084,261.717,272.470
Novo Oriente (CE),136.549,170.447,174.654,176.828,212.351
Ocara (CE),104.261,136.287,140.712,150.231,172.265
Orós (CE),144.142,171.995,170.348,191.487,181.332
Pacajus (CE),778.970,929.253,940.023,1.001.708,1.064.432
Pacatuba (CE),802.513,972.488,939.811,949.993,1.035.916
Pacoti (CE),91.982,114.451,99.316,124.959,165.597
Pacujá (CE),32.712,37.116,40.051,43.465,47.602
Palhano (CE),52.839,63.154,62.302,63.795,76.962
Palmácia (CE),58.579,89.085,82.823,83.520,100.907
Paracuru (CE),370.570,425.149,405.883,415.286,475.887
Paraipaba (CE),265.461,329.698,355.526,411.002,357.111
Parambu (CE),149.030,175.492,198.473,206.119,204.761
Paramoti (CE),72.581,66.194,74.645,78.644,95.832
Pedra Branca (CE),204.011,234.580,249.474,266.683,281.948
Penaforte (CE),65.997,83.520,85.837,89.183,107.363
Pentecoste (CE),350.736,314.391,335.342,367.405,405.039
Pereiro (CE),83.447,99.647,153.921,212.943,315.992
Pindoretama (CE),135.303,168.287,184.212,208.294,221.102
Piquet Carneiro (CE),80.284,97.901,105.633,116.483,122.367
Pires Ferreira (CE),42.663,45.775,44.278,49.087,57.106
Poranga (CE),54.130,62.989,66.631,69.879,77.866
Porteiras (CE),81.974,96.956,106.836,124.356,136.554
Potengi (CE),66.036,87.152,80.740,75.663,94.830
Potiretama (CE),32.100,39.980,43.412,49.556,53.937
Quiterianópolis (CE),101.601,139.967,127.407,141.227,166.934
Quixadá (CE),733.060,821.399,894.136,971.818,937.401
Quixelô (CE),90.249,108.577,107.327,120.304,127.331
Quixeramobim (CE),603.448,712.913,746.318,871.205,1.037.971
Quixeré (CE),490.581,496.721,387.109,321.960,382.897
Redenção (CE),202.153,238.894,268.426,243.968,335.447
Reriutaba (CE),120.055,133.607,140.349,146.836,190.648
Russas (CE),777.481,886.849,904.223,916.892,1.129.464
Saboeiro (CE),71.996,85.658,88.688,106.260,129.449
Salitre (CE),92.767,116.297,99.370,106.349,118.073
Santana do Acaraú (CE),150.334,177.993,184.460,194.406,213.896
Santana do Cariri (CE),93.678,120.441,108.196,106.561,132.741
Santa Quitéria (CE),298.641,352.190,373.312,397.700,444.169
São Benedito (CE),347.902,380.826,379.048,429.676,475.176
São Gonçalo do Amarante (CE),822.595,1.444.778,1.853.784,2.361.426,3.083.998
São João do Jaguaribe (CE),72.701,74.634,82.085,96.517,94.531
São Luís do Curu (CE),74.820,87.265,90.846,94.690,96.095
Senador Pompeu (CE),214.365,244.764,253.455,290.674,315.027
Senador Sá (CE),33.356,39.502,40.665,42.738,49.705
Sobral (CE),3.419.143,3.830.449,3.974.674,4.143.824,4.456.661
Solonópole (CE),102.405,118.262,135.730,163.669,183.440
Tabuleiro do Norte (CE),232.017,267.727,267.022,282.813,330.487
Tamboril (CE),126.912,156.018,164.216,193.640,201.168
Tarrafas (CE),48.193,60.885,55.215,53.357,71.509
Tauá (CE),390.250,493.896,497.673,515.156,595.586
Tejuçuoca (CE),73.464,88.000,99.043,109.299,110.241
Tianguá (CE),681.314,844.070,867.501,1.047.061,1.248.162
Trairi (CE),511.212,601.091,578.552,644.612,659.097
Tururu (CE),67.906,84.225,90.784,95.533,101.257
Ubajara (CE),277.485,305.766,336.480,399.742,509.131
Umari (CE),36.236,41.272,42.930,46.383,49.084
Umirim (CE),88.297,101.983,109.338,122.765,138.782
Uruburetama (CE),229.445,267.728,284.403,382.943,453.854
Uruoca (CE),66.012,94.155,116.878,112.883,148.516
Varjota (CE),132.942,199.368,151.347,226.886,253.742
Várzea Alegre (CE),221.877,276.656,281.080,331.370,347.549
Viçosa do Ceará (CE),291.079,338.870,331.088,377.603,413.429
Acari (RN),98.156,105.627,112.644,109.315,119.101
Açu (RN),818.416,830.663,853.302,780.970,894.304
Afonso Bezerra (RN),65.569,67.542,79.301,84.824,95.929
Água Nova (RN),19.942,21.627,24.111,24.593,25.490
Alexandria (RN),92.574,100.071,112.704,119.003,125.198
Almino Afonso (RN),29.979,31.135,34.276,34.031,36.038
Alto do Rodrigues (RN),453.270,641.212,446.954,409.747,413.531
Angicos (RN),100.524,108.485,109.781,120.549,125.964
Antônio Martins (RN),40.390,44.291,45.917,49.822,52.867
Apodi (RN),541.188,527.793,418.636,419.171,471.344
Areia Branca (RN),878.478,819.133,668.048,735.957,562.038
Arês (RN),209.709,247.013,275.387,293.291,362.317
Campo Grande (RN),81.174,104.138,74.529,78.044,83.514
Baía Formosa (RN),116.256,133.235,143.906,131.130,134.750
Baraúna (RN),579.020,420.297,588.920,506.333,507.035
Barcelona (RN),27.692,29.600,30.533,32.941,35.278
Bento Fernandes (RN),34.670,37.280,39.951,40.574,45.790
Bodó (RN),42.023,82.117,38.695,41.438,221.682
Bom Jesus (RN),61.214,63.745,70.983,73.904,80.674
Brejinho (RN),116.289,128.575,123.748,136.235,151.333
Caiçara do Norte (RN),43.581,42.979,52.517,61.499,69.413
Caiçara do Rio do Vento (RN),27.832,29.761,31.163,33.435,33.446
Caicó (RN),883.798,932.199,981.991,1.060.507,1.145.233
Campo Redondo (RN),57.759,63.602,68.791,70.996,77.545
Canguaretama (RN),358.161,365.938,418.688,408.706,478.722
Caraúbas (RN),343.642,296.263,271.748,242.807,304.021
Carnaúba dos Dantas (RN),64.566,70.780,76.561,77.561,80.776
Carnaubais (RN),192.098,207.508,150.297,100.150,119.906
Ceará-Mirim (RN),663.989,701.637,738.018,784.614,808.680
Cerro Corá (RN),82.163,83.105,100.412,107.434,144.438
Coronel Ezequiel (RN),33.655,35.074,41.596,41.142,42.805
Coronel João Pessoa (RN),30.935,33.280,35.880,37.256,40.150
Cruzeta (RN),73.886,444.758,88.400,88.642,96.955
Currais Novos (RN),586.499,570.962,622.689,630.185,721.961
Doutor Severiano (RN),42.511,45.955,48.130,50.435,53.849
Parnamirim (RN),4.136.921,4.383.204,4.627.678,5.210.838,5.023.625
Encanto (RN),31.374,34.372,36.805,40.780,42.127
Equador (RN),46.063,45.692,62.697,64.110,64.753
Espírito Santo (RN),52.162,55.387,62.468,66.520,72.127
Extremoz (RN),247.013,263.242,306.875,355.123,387.253
Felipe Guerra (RN),120.935,111.136,83.963,67.376,76.307
Fernando Pedroza (RN),22.658,23.042,24.413,26.017,31.964
Florânia (RN),63.314,73.850,82.181,82.183,81.113
Francisco Dantas (RN),25.161,25.909,23.178,23.302,24.793
Frutuoso Gomes (RN),28.935,29.949,34.608,30.293,35.349
Galinhos (RN),55.630,51.501,65.383,66.016,68.345
Goianinha (RN),233.762,262.185,295.877,311.906,358.844
Governador Dix-Sept Rosado (RN),266.776,271.389,202.166,147.879,205.510
Grossos (RN),155.172,138.403,130.515,111.178,131.996
Guamaré (RN),4.199,260.612,1.241.923,1.875.112,1.624.965
Ielmo Marinho (RN),83.075,92.411,93.899,96.307,103.448
Ipanguaçu (RN),112.535,120.512,121.487,136.220,133.261
Ipueira (RN),17.996,20.157,21.812,22.999,25.977
Itajá (RN),57.079,64.015,65.893,66.120,84.251
Itaú (RN),45.782,43.690,44.304,46.220,48.106
Jaçanã (RN),53.300,52.797,56.753,55.997,60.725
Jandaíra (RN),44.740,47.821,62.240,190.240,74.772
Janduís (RN),42.985,45.083,53.121,55.277,60.901
Januário Cicco (RN),50.788,55.684,58.493,62.108,65.985
Japi (RN),31.836,31.413,34.819,36.935,39.533
Jardim de Angicos (RN),20.292,19.958,23.705,22.853,25.461
Jardim de Piranhas (RN),136.791,143.574,146.670,119.487,128.335
Jardim do Seridó (RN),110.555,117.725,129.906,140.110,154.907
João Câmara (RN),479.389,528.025,820.754,981.329,1.046.611
João Dias (RN),16.813,18.419,19.221,18.853,20.934
José da Penha (RN),36.408,41.419,44.906,43.519,48.808
Jucurutu (RN),132.980,162.824,176.071,185.768,214.336
Jundiá (RN),23.018,25.119,27.245,28.485,32.885
Lagoa d'Anta (RN),39.106,40.492,46.597,48.441,50.504
Lagoa de Pedras (RN),44.019,46.571,53.196,54.243,58.249
Lagoa de Velhos (RN),24.326,23.942,30.189,29.705,31.108
Lagoa Nova (RN),147.386,153.865,130.345,141.617,262.202
Lagoa Salgada (RN),58.307,48.420,57.264,58.352,66.345
Lajes (RN),93.298,94.236,100.467,108.299,120.433
Lajes Pintadas (RN),31.074,34.571,37.450,39.639,41.041
Lucrécia (RN),32.650,34.551,40.527,35.215,41.757
Luís Gomes (RN),56.978,61.292,62.998,63.155,68.792
Macaíba (RN),1.389.129,1.355.845,1.454.040,1.365.318,1.479.503
Macau (RN),961.749,922.011,791.519,544.353,593.501
Major Sales (RN),22.361,31.073,33.035,31.408,34.828
Marcelino Vieira (RN),50.471,53.371,58.609,59.265,62.169
Martins (RN),56.771,62.352,67.913,73.978,81.840
Maxaranguape (RN),81.277,87.939,97.872,102.851,109.024
Messias Targino (RN),56.734,65.286,65.679,62.647,76.814
Montanhas (RN),66.715,71.478,80.179,83.206,88.586
Monte Alegre (RN),150.232,162.869,179.894,191.985,208.380
Monte das Gameleiras (RN),17.856,19.700,19.369,18.787,21.960
Mossoró (RN),6.151.752,6.229.278,5.994.319,5.818.423,6.167.477
Natal (RN),18.465.101,19.100.605,20.591.133,21.861.053,23.458.658
Nísia Floresta (RN),268.034,295.976,329.124,338.527,356.995
Nova Cruz (RN),325.213,358.996,411.902,446.884,462.046
Olho d'Água do Borges (RN),30.728,32.638,33.558,33.690,34.520
Ouro Branco (RN),35.116,39.058,41.756,43.195,47.201
Paraná (RN),26.033,28.001,29.768,29.467,33.023
Paraú (RN),32.224,31.599,32.554,34.090,40.709
Parazinho (RN),196.674,204.263,225.963,322.451,423.165
Parelhas (RN),227.210,232.717,310.961,300.894,322.338
Rio do Fogo (RN),91.656,114.684,109.857,110.182,170.511
Passa e Fica (RN),79.876,85.785,99.166,94.217,107.594
Passagem (RN),23.983,24.721,26.495,29.576,30.554
Patu (RN),90.793,94.459,106.214,106.464,129.588
Santa Maria (RN),45.819,52.208,57.947,49.237,65.390
Pau dos Ferros (RN),338.782,362.903,404.786,429.044,493.223
Pedra Grande (RN),39.847,36.803,148.360,180.628,206.954
Pedra Preta (RN),19.116,20.429,23.007,23.834,24.973
Pedro Avelino (RN),42.118,45.221,49.782,51.489,54.327
Pedro Velho (RN),90.164,101.647,109.705,117.495,123.266
Pendências (RN),369.347,324.726,279.824,224.128,284.538
Pilões (RN),25.246,29.870,32.006,32.865,35.075
Poço Branco (RN),82.757,89.516,93.298,96.626,107.190
Portalegre (RN),46.087,47.547,53.194,53.888,59.757
Porto do Mangue (RN),249.993,207.416,123.185,83.444,117.667
Serra Caiada (RN),55.984,59.477,66.639,71.644,77.804
Pureza (RN),65.568,61.877,70.626,79.489,127.852
Rafael Fernandes (RN),31.341,32.938,37.580,39.365,40.514
Rafael Godeiro (RN),21.466,22.284,23.645,26.685,28.890
Riacho da Cruz (RN),22.154,24.034,26.267,27.888,30.481
Riacho de Santana (RN),26.933,30.231,29.814,30.152,31.380
Riachuelo (RN),49.977,52.351,55.890,60.695,64.291
Rodolfo Fernandes (RN),29.071,30.641,33.940,35.430,39.998
Tibau (RN),56.103,62.916,86.357,73.744,79.956
Ruy Barbosa (RN),23.985,25.737,27.935,30.443,29.806
Santa Cruz (RN),342.496,384.089,414.406,461.489,562.261
Santana do Matos (RN),99.175,141.618,121.012,113.283,124.274
Santana do Seridó (RN),30.715,31.735,33.381,37.369,38.557
Santo Antônio (RN),162.643,169.983,191.327,209.087,216.175
São Bento do Norte (RN),38.139,43.736,76.519,105.101,196.460
São Bento do Trairí (RN),26.135,27.747,30.359,33.445,34.817
São Fernando (RN),38.860,43.172,49.903,47.436,48.863
São Francisco do Oeste (RN),28.506,30.203,32.413,43.755,38.685
São Gonçalo do Amarante (RN),1.560.568,1.664.023,1.731.788,1.342.598,1.414.685
São João do Sabugi (RN),44.404,46.911,51.820,51.472,56.257
São José de Mipibu (RN),606.617,649.068,681.596,654.217,762.501
São José do Campestre (RN),66.993,77.125,83.629,89.745,94.086
São José do Seridó (RN),48.960,54.568,62.411,72.521,101.471
São Miguel (RN),159.930,180.831,192.239,207.744,218.349
São Miguel do Gostoso (RN),66.706,87.337,159.211,318.957,419.572
São Paulo do Potengi (RN),127.173,125.611,139.811,147.512,162.670
São Pedro (RN),44.482,47.151,52.084,53.919,58.984
São Rafael (RN),58.737,58.580,65.909,66.458,70.221
São Tomé (RN),69.262,71.929,80.223,85.948,90.449
São Vicente (RN),42.956,43.300,50.677,59.643,62.950
Senador Elói de Souza (RN),33.310,35.489,38.402,41.354,43.396
Senador Georgino Avelino (RN),72.925,80.064,90.488,99.012,102.989
Serra de São Bento (RN),31.080,33.400,37.160,39.823,45.007
Serra do Mel (RN),119.733,120.690,108.622,148.846,306.571
Serra Negra do Norte (RN),59.261,64.358,71.203,75.779,73.353
Serrinha (RN),44.749,47.739,50.790,49.552,54.688
Serrinha dos Pintos (RN),28.095,31.247,34.040,34.777,37.323
Severiano Melo (RN),40.449,40.981,38.560,38.504,41.443
Sítio Novo (RN),31.075,32.615,37.255,39.324,42.034
Taboleiro Grande (RN),19.318,20.572,21.200,23.390,25.076
Taipu (RN),111.438,101.443,101.084,106.528,120.768
Tangará (RN),107.650,112.045,120.137,133.264,137.350
Tenente Ananias (RN),68.562,72.424,76.051,76.639,83.173
Tenente Laurentino Cruz (RN),38.540,39.421,53.401,56.382,94.070
Tibau do Sul (RN),223.628,258.278,265.087,287.147,305.228
Timbaúba dos Batistas (RN),21.011,23.273,26.464,28.279,30.008
Touros (RN),310.227,354.624,398.534,407.063,676.606
Triunfo Potiguar (RN),31.533,32.772,40.698,38.454,41.115
Umarizal (RN),95.541,100.921,108.764,114.926,129.502
Upanema (RN),158.405,163.066,139.912,119.520,142.009
Várzea (RN),34.167,34.837,36.901,38.713,41.813
Venha-Ver (RN),24.455,27.826,30.398,31.180,35.657
Vera Cruz (RN),76.841,83.597,94.176,97.299,106.737
Viçosa (RN),12.021,13.484,14.761,14.978,15.769
Vila Flor (RN),26.248,27.385,31.124,30.460,36.889
Água Branca (PB),54.926,64.603,70.799,75.099,77.222
Aguiar (PB),35.153,37.811,39.795,44.336,47.394
Alagoa Grande (PB),195.412,211.284,225.941,239.625,266.622
Alagoa Nova (PB),237.754,223.175,257.150,250.824,225.945
Alagoinha (PB),71.854,83.955,91.454,99.535,108.721
Alcantil (PB),31.086,35.400,37.136,38.939,42.305
Algodão de Jandaíra (PB),18.500,21.068,22.968,23.138,25.919
Alhandra (PB),599.945,714.745,769.657,862.870,1.110.449
São João do Rio do Peixe (PB),127.291,139.262,153.960,168.174,171.752
Amparo (PB),16.150,17.052,20.452,21.776,24.393
Aparecida (PB),53.873,64.005,70.396,72.511,72.219
Araçagi (PB),116.303,125.860,137.108,141.696,167.593
Arara (PB),72.036,78.098,85.473,90.190,98.835
Araruna (PB),116.358,128.445,140.410,154.852,165.493
Areia (PB),164.224,183.448,193.888,207.746,232.703
Areia de Baraúnas (PB),13.103,14.515,15.200,17.102,18.678
Areial (PB),40.094,46.068,50.277,51.070,52.057
Aroeiras (PB),106.980,116.833,130.727,137.080,141.195
Assunção (PB),25.626,28.695,31.497,34.961,36.966
Baía da Traição (PB),59.113,67.152,70.977,77.383,79.806
Bananeiras (PB),165.214,173.428,198.178,228.549,232.450
Baraúna (PB),27.644,31.128,34.622,37.115,40.503
Barra de Santana (PB),46.513,52.565,62.782,59.930,63.431
Barra de Santa Rosa (PB),96.562,103.067,107.755,114.036,127.545
Barra de São Miguel (PB),35.012,38.683,40.645,44.710,46.564
Bayeux (PB),935.970,1.080.212,1.086.768,1.225.858,1.356.045
Belém (PB),122.209,135.671,148.363,154.241,170.525
Belém do Brejo do Cruz (PB),43.466,50.798,55.273,59.225,64.521
Bernardino Batista (PB),19.890,24.461,26.097,29.139,31.613
Boa Ventura (PB),30.312,34.682,38.285,38.868,41.912
Boa Vista (PB),117.910,109.678,121.272,126.091,126.851
Bom Jesus (PB),18.220,20.041,23.556,25.327,26.206
Bom Sucesso (PB),29.803,32.961,34.905,37.947,41.481
Bonito de Santa Fé (PB),67.990,78.439,81.485,84.514,95.009
Boqueirão (PB),137.186,155.419,167.891,171.186,185.220
Igaracy (PB),40.189,45.457,47.212,50.448,51.205
Borborema (PB),46.719,48.780,52.560,60.366,62.146
Brejo do Cruz (PB),84.041,96.031,104.158,112.823,122.278
Brejo dos Santos (PB),40.305,43.591,46.458,47.912,51.655
Caaporã (PB),390.225,400.230,355.038,306.428,322.159
Cabaceiras (PB),35.069,38.328,43.621,46.646,48.285
Cabedelo (PB),2.030.250,2.292.668,2.414.214,2.482.532,2.895.697
Cachoeira dos Índios (PB),78.532,91.900,103.581,101.089,109.479
Cacimba de Areia (PB),23.811,28.003,28.216,29.217,33.111
Cacimba de Dentro (PB),91.236,101.006,106.008,114.941,123.894
Cacimbas (PB),36.349,42.070,44.565,49.360,47.318
Caiçara (PB),50.499,55.627,55.963,57.420,59.333
Cajazeiras (PB),770.339,904.648,949.025,1.039.264,1.096.133
Cajazeirinhas (PB),24.038,25.367,25.532,27.486,30.468
Caldas Brandão (PB),46.359,48.117,60.939,63.552,65.966
Camalaú (PB),38.818,47.015,52.080,57.267,59.381
Campina Grande (PB),6.574.105,7.535.111,7.956.060,8.373.970,8.650.089
Capim (PB),41.596,45.220,49.142,55.124,60.048
Caraúbas (PB),25.143,27.329,30.652,30.998,34.691
Carrapateira (PB),19.365,21.664,22.351,23.423,25.579
Casserengue (PB),43.579,47.677,50.288,54.741,59.294
Catingueira (PB),33.592,34.159,35.134,39.543,40.217
Catolé do Rocha (PB),252.503,296.460,332.309,363.091,380.058
Caturité (PB),47.635,55.764,57.600,51.312,56.763
Conceição (PB),114.057,131.687,141.440,153.944,161.118
Condado (PB),41.203,45.879,50.073,55.313,57.481
Conde (PB),543.629,563.976,567.721,592.787,636.152
Congo (PB),38.561,43.752,47.660,48.462,50.494
Coremas (PB),101.975,123.553,130.626,142.259,141.093
Coxixola (PB),12.839,13.776,16.704,18.313,19.190
Cruz do Espírito Santo (PB),106.313,117.274,122.568,135.792,127.580
Cubati (PB),45.383,50.441,55.592,56.753,59.221
Cuité (PB),137.790,156.970,165.524,178.642,190.743
Cuitegi (PB),39.307,43.910,48.327,52.224,56.891
Cuité de Mamanguape (PB),45.096,47.336,50.975,52.528,55.257
Curral de Cima (PB),37.090,38.185,37.114,40.710,47.210
Curral Velho (PB),16.758,19.155,20.616,21.523,19.978
Damião (PB),30.282,32.377,35.449,38.981,41.814
Desterro (PB),44.650,52.405,53.940,60.153,59.117
Vista Serrana (PB),23.071,25.369,26.738,29.754,33.191
Diamante (PB),41.101,44.947,46.827,49.392,53.269
Dona Inês (PB),59.258,66.649,70.012,77.489,81.255
Duas Estradas (PB),30.138,32.315,36.284,36.297,37.670
Emas (PB),24.171,25.736,26.747,29.130,32.011
Esperança (PB),311.401,353.185,372.235,403.293,408.056
Fagundes (PB),74.895,81.847,88.812,87.853,87.471
Frei Martinho (PB),19.623,22.456,24.891,25.550,26.563
Gado Bravo (PB),46.492,50.649,54.428,57.776,64.867
Guarabira (PB),633.402,788.502,849.477,939.091,947.355
Gurinhém (PB),102.948,110.006,122.931,131.729,134.905
Gurjão (PB),21.837,24.983,28.064,30.001,30.537
Ibiara (PB),34.777,39.958,42.306,46.043,47.407
Imaculada (PB),58.807,65.665,68.615,72.767,75.523
Ingá (PB),115.034,128.870,136.002,152.155,155.991
Itabaiana (PB),198.345,230.065,246.052,257.999,273.668
Itaporanga (PB),194.583,222.999,236.871,251.096,273.904
Itapororoca (PB),122.916,133.095,150.356,164.815,172.236
Itatuba (PB),75.844,84.549,87.737,95.887,105.331
Jacaraú (PB),95.730,102.743,110.423,123.887,120.942
Jericó (PB),46.798,53.493,55.986,58.812,62.623
João Pessoa (PB),15.002.609,17.449.530,18.272.539,18.740.050,19.740.717
Juarez Távora (PB),44.646,50.273,53.604,57.166,63.093
Juazeirinho (PB),106.043,125.298,134.455,144.780,154.338
Junco do Seridó (PB),46.646,55.937,61.437,70.293,65.187
Juripiranga (PB),76.287,84.177,87.344,99.283,99.769
Juru (PB),54.129,59.294,63.812,70.983,74.008
Lagoa (PB),26.305,29.471,31.651,33.479,37.793
Lagoa de Dentro (PB),50.628,56.547,61.862,66.586,71.622
Lagoa Seca (PB),199.181,211.374,235.748,253.019,259.417
Lastro (PB),18.525,19.539,22.157,23.658,26.081
Livramento (PB),38.878,44.574,48.474,53.340,57.242
Logradouro (PB),26.344,28.072,30.696,33.848,37.488
Lucena (PB),133.910,191.140,197.746,187.654,187.693
Mãe d'Água (PB),23.559,26.025,27.818,29.862,31.494
Malta (PB),35.626,39.534,43.765,47.490,49.597
Mamanguape (PB),418.411,478.736,541.738,612.304,625.220
Manaíra (PB),51.670,59.670,63.511,71.330,72.421
Marcação (PB),60.785,67.945,68.842,75.622,72.367
Mari (PB),133.719,150.518,169.687,193.933,191.180
Marizópolis (PB),35.145,42.540,46.773,52.579,61.344
Massaranduba (PB),81.134,92.285,95.669,96.484,102.104
Mataraca (PB),170.882,190.875,202.314,237.382,185.237
Matinhas (PB),39.615,41.586,42.380,43.572,41.686
Mato Grosso (PB),16.537,19.816,20.541,22.234,25.504
Maturéia (PB),36.470,42.476,43.354,47.200,50.512
Mogeiro (PB),90.098,99.475,108.240,115.156,129.981
Montadas (PB),30.501,41.644,71.070,61.490,61.437
Monte Horebe (PB),26.885,31.851,31.514,33.482,36.881
Monteiro (PB),285.995,343.654,406.205,449.303,495.876
Mulungu (PB),62.193,63.467,64.877,68.281,76.930
Natuba (PB),62.873,67.837,67.389,76.857,80.816
Nazarezinho (PB),43.170,47.861,50.592,54.151,57.529
Nova Floresta (PB),63.433,69.971,76.349,79.904,82.903
Nova Olinda (PB),33.876,38.372,41.339,42.925,47.954
Nova Palmeira (PB),29.213,32.157,36.613,38.786,39.415
Olho d'Água (PB),38.181,42.681,46.241,50.359,56.662
Olivedos (PB),23.490,26.287,29.113,32.149,35.220
Ouro Velho (PB),20.897,24.140,27.337,29.682,31.212
Parari (PB),13.813,15.171,16.128,17.443,18.614
Passagem (PB),17.704,20.985,21.782,25.106,24.339
Patos (PB),1.155.462,1.337.497,1.460.231,1.546.309,1.712.176
Paulista (PB),78.216,90.873,100.669,106.536,119.574
Pedra Branca (PB),24.036,28.184,29.594,30.381,32.502
Pedra Lavrada (PB),55.617,62.331,68.330,75.523,68.826
Pedras de Fogo (PB),375.679,444.201,400.927,446.402,425.426
Piancó (PB),128.813,153.791,163.366,168.131,179.588
Picuí (PB),127.535,145.165,156.286,163.756,176.531
Pilar (PB),67.576,73.603,78.965,85.903,92.900
Pilões (PB),49.226,51.742,57.738,60.232,87.417
Pilõezinhos (PB),34.493,34.340,40.509,43.152,43.675
Pirpirituba (PB),60.570,67.803,73.251,79.994,85.036
Pitimbu (PB),128.122,137.224,187.435,275.180,265.290
Pocinhos (PB),180.139,183.570,208.228,222.637,233.676
Poço Dantas (PB),23.264,25.408,27.095,29.548,33.453
Poço de José de Moura (PB),28.220,32.459,36.158,37.688,40.622
Pombal (PB),267.532,308.302,342.079,367.268,381.280
Prata (PB),32.149,33.432,41.608,43.735,49.194
Princesa Isabel (PB),152.355,173.396,182.923,216.491,212.930
Puxinanã (PB),76.427,82.783,89.526,89.957,97.324
Queimadas (PB),363.123,388.277,411.067,439.633,465.675
Quixaba (PB),14.162,16.100,18.138,19.473,22.352
Remígio (PB),127.085,138.198,151.754,150.727,168.974
Pedro Régis (PB),36.742,39.083,42.546,46.414,46.843
Riachão (PB),21.738,24.179,26.466,28.783,30.886
Riachão do Bacamarte (PB),29.349,33.471,36.941,39.014,40.960
Riachão do Poço (PB),30.350,34.041,38.284,40.773,43.856
Riacho de Santo Antônio (PB),15.609,18.130,18.912,20.134,21.693
Riacho dos Cavalos (PB),48.987,57.771,62.067,67.260,70.509
Rio Tinto (PB),191.865,225.627,227.969,259.650,238.589
Salgadinho (PB),20.238,21.921,23.677,25.154,25.439
Salgado de São Félix (PB),72.091,77.717,97.670,118.210,111.521
Santa Cecília (PB),39.794,46.848,45.519,48.954,53.031
Santa Cruz (PB),38.449,42.643,45.716,50.224,55.394
Santa Helena (PB),35.602,38.491,43.120,46.992,49.397
Santa Inês (PB),21.613,24.078,25.530,26.943,29.071
Santa Luzia (PB),128.866,148.547,165.722,172.023,198.367
Santana de Mangueira (PB),32.095,35.852,37.265,37.235,40.149
Santana dos Garrotes (PB),42.842,46.800,48.859,50.482,53.616
Joca Claudino (PB),17.718,20.231,22.376,24.267,26.687
Santa Rita (PB),1.905.403,2.077.897,2.181.514,2.181.519,2.222.754
Santa Teresinha (PB),32.301,34.481,37.788,45.926,44.622
Santo André (PB),19.624,19.685,21.475,22.350,24.161
São Bento (PB),257.640,308.468,344.960,389.080,425.782
São Bentinho (PB),30.198,32.581,37.327,41.397,40.297
São Domingos do Cariri (PB),16.421,18.630,20.790,22.244,23.775
São Domingos (PB),18.875,21.317,22.991,25.546,28.149
São Francisco (PB),22.814,26.003,27.433,30.209,31.962
São João do Cariri (PB),32.220,35.782,38.718,41.349,42.852
São João do Tigre (PB),22.372,25.016,28.039,30.874,34.027
São José da Lagoa Tapada (PB),43.384,48.769,52.186,55.010,57.795
São José de Caiana (PB),32.737,36.849,38.446,40.107,46.278
São José de Espinharas (PB),32.194,39.350,36.891,61.186,48.505
São José dos Ramos (PB),33.882,38.169,40.723,44.372,46.981
São José de Piranhas (PB),134.426,165.820,181.675,174.738,175.932
São José de Princesa (PB),21.305,23.158,24.531,27.295,29.101
São José do Bonfim (PB),17.444,19.781,20.717,24.302,27.324
São José do Brejo do Cruz (PB),13.624,16.035,17.205,19.488,23.009
São José do Sabugi (PB),30.767,34.872,37.438,41.914,59.405
São José dos Cordeiros (PB),20.160,21.875,23.831,26.523,28.623
São Mamede (PB),58.265,60.136,61.320,67.173,69.263
São Miguel de Taipu (PB),44.435,48.559,51.818,57.915,62.373
São Sebastião de Lagoa de Roça (PB),65.282,69.751,76.273,80.012,86.631
São Sebastião do Umbuzeiro (PB),20.720,23.329,25.496,31.263,31.038
Sapé (PB),401.686,467.731,514.699,554.078,529.919
São Vicente do Seridó (PB),51.590,56.351,59.333,63.150,68.137
Serra Branca (PB),87.013,103.129,110.256,113.661,117.769
Serra da Raiz (PB),22.876,25.369,27.197,29.705,31.487
Serra Grande (PB),34.833,39.671,42.864,43.358,48.355
Serra Redonda (PB),45.317,49.767,50.219,53.132,59.669
Serraria (PB),56.227,47.093,52.416,54.679,58.897
Sertãozinho (PB),34.142,36.517,39.767,42.350,46.042
Sobrado (PB),58.667,66.499,70.936,78.110,86.885
