Município,2013,2014,2015,2016,2017
Guajará (AM),92.709,100.262,106.588,111.353,115.995
Humaitá (AM),367.181,422.861,450.582,482.341,556.079
Ipixuna (AM),106.738,112.260,120.605,126.316,139.916
Iranduba (AM),481.446,529.533,627.693,625.010,697.064
Itacoatiara (AM),1.440.639,1.591.040,1.762.125,1.891.522,1.979.493
Itamarati (AM),73.384,75.976,79.330,84.732,93.869
Itapiranga (AM),68.872,80.542,80.512,102.310,107.713
Japurá (AM),50.959,58.162,60.551,59.570,61.997
Juruá (AM),84.513,84.834,90.422,89.823,99.877
Jutaí (AM),180.234,182.212,196.731,197.969,218.569
Lábrea (AM),380.687,368.576,390.961,449.071,495.747
Manacapuru (AM),1.229.929,1.264.411,1.414.754,1.316.860,1.526.357
Manaquiri (AM),182.257,206.792,231.559,250.252,236.248
Manaus (AM),63.829.864,67.418.894,67.076.904,70.234.306,73.225.449
Manicoré (AM),400.950,459.510,492.408,476.291,495.881
Maraã (AM),96.880,117.725,122.658,141.135,153.885
Maués (AM),360.983,389.379,380.954,410.786,459.063
Nhamundá (AM),128.950,121.117,123.219,135.685,142.267
Nova Olinda do Norte (AM),157.883,187.770,195.941,212.324,234.351
Novo Airão (AM),92.626,112.457,117.037,126.322,131.745
Novo Aripuanã (AM),140.185,149.447,157.337,170.246,183.334
Parintins (AM),1.010.620,975.798,949.020,1.027.340,1.092.155
Pauini (AM),108.044,136.558,139.060,142.491,150.838
Presidente Figueiredo (AM),722.104,662.828,761.204,547.295,445.555
Rio Preto da Eva (AM),326.203,370.897,444.180,446.859,384.152
Santa Isabel do Rio Negro (AM),104.748,123.219,155.313,127.341,122.726
Santo Antônio do Içá (AM),126.286,146.110,149.509,163.636,172.833
São Gabriel da Cachoeira (AM),216.457,257.234,265.932,284.030,314.682
São Paulo de Olivença (AM),172.810,190.870,193.791,206.312,235.478
São Sebastião do Uatumã (AM),73.866,84.210,84.630,93.403,101.297
Silves (AM),83.929,74.699,105.001,99.257,96.376
Tabatinga (AM),327.177,366.628,382.963,423.684,463.248
Tapauá (AM),152.594,189.775,201.237,215.987,338.884
Tefé (AM),540.069,710.995,710.973,657.170,746.603
Tonantins (AM),99.627,107.192,114.685,118.661,123.847
Uarini (AM),106.102,121.455,130.831,172.385,186.574
Urucará (AM),256.607,302.307,310.200,297.880,298.331
Urucurituba (AM),110.166,119.412,113.917,124.236,143.101
Amajari (RR),120.398,106.016,123.154,142.465,163.113
Alto Alegre (RR),181.429,190.357,221.320,251.016,276.115
Boa Vista (RR),6.705.377,7.353.245,7.581.092,8.110.722,8.947.813
Bonfim (RR),191.785,185.433,224.232,247.398,266.844
Cantá (RR),183.167,200.639,209.781,226.193,247.658
Caracaraí (RR),258.592,267.044,307.049,327.059,347.759
Caroebe (RR),123.945,132.112,142.421,151.484,162.996
Iracema (RR),114.095,119.517,126.537,136.169,150.906
Mucajaí (RR),209.439,205.852,248.327,270.760,299.920
Normandia (RR),102.878,110.653,123.235,129.566,148.455
Pacaraima (RR),131.072,139.438,145.930,164.379,171.778
Rorainópolis (RR),403.929,436.625,467.660,501.717,530.590
São João da Baliza (RR),109.951,116.628,124.280,140.162,155.127
São Luiz (RR),93.160,94.081,100.434,110.517,119.130
Uiramutã (RR),81.508,86.482,97.451,103.629,116.502
Abaetetuba (PA),891.428,1.056.559,1.192.555,1.246.639,1.337.353
Abel Figueiredo (PA),57.573,69.372,66.599,76.699,80.633
Acará (PA),871.619,577.256,640.890,789.271,932.175
Afuá (PA),262.214,301.313,324.962,318.316,358.271
Água Azul do Norte (PA),287.540,320.451,379.314,432.588,443.365
Alenquer (PA),560.154,531.842,518.610,660.477,609.255
Almeirim (PA),454.918,502.847,475.344,590.295,666.123
Altamira (PA),3.094.031,3.948.811,3.201.408,2.497.078,2.501.060
Anajás (PA),154.237,167.161,180.985,180.704,204.751
Ananindeua (PA),4.900.297,5.772.894,6.222.672,6.718.793,6.980.443
Anapu (PA),209.864,257.292,302.093,310.094,351.211
Augusto Corrêa (PA),253.554,251.669,287.174,309.983,332.780
Aurora do Pará (PA),230.601,240.324,257.268,298.798,277.394
Aveiro (PA),87.332,91.998,97.996,120.567,144.716
Bagre (PA),141.329,139.405,147.607,164.989,176.250
Baião (PA),258.691,258.860,307.389,338.690,356.595
Bannach (PA),51.382,58.625,68.221,79.721,76.465
Barcarena (PA),2.658.972,3.902.985,5.513.144,5.014.169,4.818.669
Belém (PA),27.139.286,28.687.488,29.215.036,29.466.894,30.244.780
Belterra (PA),268.532,251.577,140.052,151.832,158.065
Benevides (PA),921.749,1.050.325,1.202.057,1.291.065,1.394.023
Bom Jesus do Tocantins (PA),106.169,121.145,134.478,153.703,164.637
Bonito (PA),79.527,81.445,86.352,108.500,136.290
Bragança (PA),978.372,912.212,976.997,1.047.905,1.116.023
Brasil Novo (PA),158.513,181.892,208.756,228.905,240.063
Brejo Grande do Araguaia (PA),49.628,56.859,64.269,76.450,80.573
Breu Branco (PA),473.702,557.970,518.458,537.286,580.409
Breves (PA),555.397,621.581,653.059,671.417,743.334
Bujaru (PA),446.363,380.781,394.742,481.727,498.799
Cachoeira do Piriá (PA),139.360,142.851,151.957,171.922,188.110
Cachoeira do Arari (PA),143.118,146.582,159.323,169.530,172.484
Cametá (PA),738.755,848.524,987.906,1.138.431,1.183.561
Canaã dos Carajás (PA),3.483.478,2.802.921,3.478.390,2.396.141,4.089.225
Capanema (PA),828.515,914.174,958.387,985.323,967.493
Capitão Poço (PA),369.838,381.023,438.832,480.143,454.009
Castanhal (PA),2.437.327,2.709.860,3.207.269,3.605.674,3.758.255
Chaves (PA),137.769,147.275,167.194,178.428,181.414
Colares (PA),60.813,60.387,65.837,72.684,79.044
Conceição do Araguaia (PA),407.473,463.952,520.879,543.396,559.420
Concórdia do Pará (PA),237.892,249.405,260.414,256.931,292.381
Cumaru do Norte (PA),186.290,205.328,231.360,267.417,275.438
Curionópolis (PA),207.669,206.385,344.416,593.083,860.118
Curralinho (PA),156.926,166.068,477.864,651.488,630.978
Curuá (PA),79.091,87.319,97.742,108.894,120.943
Curuçá (PA),220.401,220.052,241.752,266.389,276.241
Dom Eliseu (PA),421.272,476.009,567.684,656.864,679.845
Eldorado do Carajás (PA),249.470,272.784,287.743,318.851,359.402
Faro (PA),54.288,42.921,50.485,52.371,56.499
Floresta do Araguaia (PA),357.379,313.863,331.441,315.412,249.651
Garrafão do Norte (PA),171.830,182.233,192.280,216.624,242.307
