UF,Municipio,Regiao,2013,2014,2015,2016,2017,2018,2019,2020
AP,Laranjal do Jari,Norte,541.838,559.759,531.997,791.145,850.713,902.503,973.431,1.034.560
AP,Macapá,Norte,8.279.310,8.882.333,9.126.377,9.337.264,9.996.021,10.949.101,11.422.998,11.735.557
AP,Mazagão,Norte,214.913,207.104,204.408,228.382,244.725,258.113,290.148,363.565
AP,Oiapoque,Norte,288.112,283.458,305.452,345.547,394.531,425.562,461.142,488.209
AP,Porto Grande,Norte,267.558,273.181,295.789,315.378,332.009,340.180,338.606,381.528
AP,Pracuúba,Norte,57.776,58.148,56.518,61.190,62.942,67.289,71.221,76.761
AP,Santana,Norte,1.819.411,1.883.653,1.936.602,1.758.527,1.910.086,2.071.271,2.128.724,2.341.304
AP,Serra do Navio,Norte,54.042,53.869,60.383,64.407,70.831,75.189,73.697,81.345
AP,Tartarugalzinho,Norte,194.912,163.100,165.606,186.856,202.010,225.342,231.773,246.100
AP,Vitória do Jari,Norte,151.064,157.186,147.967,184.625,184.453,189.394,196.121,224.213
BA,Santana,Nordeste,190.749,197.248,206.865,214.029,234.048,249.878,259.409,291.550
BA,Abaré,Nordeste,89.738,107.311,120.085,124.225,137.405,137.850,151.220,172.536
BA,Abaíra,Nordeste,42.485,55.320,54.905,64.379,58.457,59.567,62.610,67.365
BA,Acajutiba,Nordeste,109.425,114.174,116.674,119.173,120.754,133.741,126.737,137.425
BA,Adustina,Nordeste,132.827,98.679,159.878,101.498,120.435,112.003,173.041,305.106
BA,Aiquara,Nordeste,40.642,47.559,52.075,49.794,41.212,41.198,45.792,46.861
BA,Alagoinhas,Nordeste,2.659.131,2.757.406,2.737.826,3.171.737,3.504.871,3.963.002,4.349.226,4.454.314
BA,Alcobaça,Nordeste,198.823,209.489,234.477,262.268,264.462,255.108,290.438,305.795
BA,Almadina,Nordeste,41.406,69.222,57.993,55.989,51.855,50.181,53.031,58.472
BA,Amargosa,Nordeste,268.100,294.237,315.353,339.737,339.840,375.522,398.310,417.073
BA,Amélia Rodrigues,Nordeste,230.017,263.577,264.417,280.584,289.840,312.387,340.719,366.459
BA,América Dourada,Nordeste,76.842,88.549,103.621,120.798,111.238,115.319,133.272,148.109
BA,Anagé,Nordeste,114.373,134.595,156.646,160.428,167.087,169.915,184.992,198.291
BA,Andaraí,Nordeste,70.782,75.967,88.004,95.321,97.793,104.161,110.565,117.332
BA,Andorinha,Nordeste,120.273,144.598,135.203,172.269,190.567,191.570,183.430,203.249
BA,Angical,Nordeste,98.184,117.161,126.212,143.813,135.830,134.842,141.674,159.587
BA,Anguera,Nordeste,50.754,53.044,60.986,61.822,65.959,74.351,84.599,78.343
BA,Antas,Nordeste,83.918,93.681,99.135,112.676,112.806,116.977,126.920,143.067
BA,Antônio Cardoso,Nordeste,99.034,95.743,98.897,90.982,105.373,109.847,110.774,109.894
BA,Antônio Gonçalves,Nordeste,48.600,56.408,63.629,63.601,68.775,69.304,72.895,80.543
BA,Aporá,Nordeste,90.093,100.548,111.337,118.628,136.532,125.669,133.274,139.547
BA,Apuarema,Nordeste,50.831,53.135,57.125,69.093,56.187,66.828,64.996,68.734
BA,Aracatu,Nordeste,77.990,81.211,85.659,89.372,106.032,109.671,116.386,125.212
BA,Araci,Nordeste,297.508,339.819,366.516,392.071,381.316,425.536,434.921,467.389
BA,Aramari,Nordeste,63.629,69.639,74.097,85.574,89.651,91.494,104.163,98.892
BA,Arataca,Nordeste,73.988,91.722,99.125,96.967,77.260,81.636,89.532,99.800
BA,Aratuípe,Nordeste,53.529,59.194,63.534,67.699,64.423,65.994,68.721,74.609
BA,Aurelino Leal,Nordeste,84.472,96.063,106.729,115.246,104.857,106.741,110.080,120.705
BA,Baianópolis,Nordeste,89.874,120.434,116.942,128.353,144.540,171.344,169.351,233.204
BA,Baixa Grande,Nordeste,113.554,121.193,132.445,137.333,141.312,159.328,156.802,166.809
BA,Banzaê,Nordeste,59.951,68.903,75.898,82.175,90.796,96.654,91.563,103.194
BA,Barra,Nordeste,272.376,296.407,331.766,349.918,369.636,365.582,380.201,434.741
BA,Barra da Estiva,Nordeste,180.919,207.078,225.676,247.682,235.246,255.274,261.735,317.455
BA,Barra do Choça,Nordeste,286.329,351.122,441.795,479.072,361.459,399.019,389.634,524.830
BA,Barra do Mendes,Nordeste,71.045,78.462,85.833,90.851,94.250,94.597,97.882,102.858
BA,Barra do Rocha,Nordeste,46.147,141.515,64.775,62.300,45.822,63.168,63.157,67.758
BA,Barreiras,Nordeste,2.888.677,3.337.723,3.718.351,3.379.007,3.895.977,4.744.841,5.055.223,6.137.204
BA,Barro Alto,Nordeste,63.446,71.551,79.352,82.404,84.639,91.813,99.899,106.675
BA,Barro Preto,Nordeste,49.164,50.973,54.914,60.388,60.302,61.981,60.893,68.795
BA,Barrocas,Nordeste,175.420,168.872,192.758,250.956,220.882,239.366,269.344,319.416
BA,Belmonte,Nordeste,226.424,229.954,280.303,285.477,265.802,288.763,319.978,334.868
BA,Belo Campo,Nordeste,87.128,95.836,104.978,118.279,128.827,130.485,145.726,155.311
BA,Biritinga,Nordeste,81.851,89.057,100.477,107.660,115.309,121.542,128.217,139.913
BA,Boa Nova,Nordeste,79.050,85.788,93.731,94.538,93.088,92.741,97.491,105.774
BA,Boa Vista do Tupim,Nordeste,110.585,104.277,110.955,117.253,118.379,121.713,129.646,141.047
BA,Bom Jesus da Lapa,Nordeste,550.848,634.594,773.330,835.085,995.798,1.009.776,1.107.151,1.135.496
BA,Bom Jesus da Serra,Nordeste,41.176,44.171,50.877,52.304,54.024,57.874,62.387,69.656
BA,Boninal,Nordeste,65.625,75.172,79.697,88.920,88.725,96.624,97.300,105.742
BA,Bonito,Nordeste,102.563,113.147,154.962,158.195,152.287,165.126,202.991,224.301
BA,Boquira,Nordeste,107.278,116.886,128.250,137.420,150.799,149.699,162.102,180.894
BA,Botuporã,Nordeste,62.670,72.032,78.349,85.741,92.702,90.322,94.305,106.811
BA,Brejolândia,Nordeste,62.928,71.332,80.762,85.607,80.382,84.872,95.195,107.128
BA,Brejões,Nordeste,119.766,125.837,130.821,129.436,110.905,120.146,122.108,133.116
BA,Brotas de Macaúbas,Nordeste,58.568,60.745,65.378,68.497,76.426,80.352,81.726,86.290
BA,Brumado,Nordeste,1.024.095,1.103.185,1.147.683,1.373.112,1.704.612,1.768.344,1.644.455,1.557.428
BA,Buerarema,Nordeste,224.255,234.293,217.212,177.424,185.102,192.112,207.917,205.890
BA,Buritirama,Nordeste,91.044,101.171,112.619,117.669,123.130,128.264,138.206,141.554
BA,Caatiba,Nordeste,54.056,60.191,64.977,66.440,60.596,65.218,63.948,74.798
BA,Cabaceiras do Paraguaçu,Nordeste,104.664,113.449,111.660,135.695,115.610,118.245,129.984,167.712
BA,Cachoeira,Nordeste,387.812,429.673,450.446,526.801,492.647,473.831,441.788,453.927
BA,Caculé,Nordeste,184.301,298.323,226.874,240.484,246.418,273.726,283.125,315.170
BA,Caetanos,Nordeste,62.517,64.918,73.204,77.266,81.335,86.963,89.139,98.630
BA,Caetité,Nordeste,442.025,639.480,724.323,637.774,870.782,857.217,921.181,916.292
BA,Cafarnaum,Nordeste,96.137,115.744,138.400,146.497,159.466,160.924,204.120,192.516
BA,Cairu,Nordeste,2.723.878,1.781.174,1.200.964,453.354,624.373,1.129.030,1.057.387,655.332
BA,Caldeirão Grande,Nordeste,70.506,80.951,86.426,102.770,94.786,91.005,96.855,94.026
BA,Camacan,Nordeste,247.875,252.936,266.589,269.514,265.190,282.379,299.025,332.258
BA,Camamu,Nordeste,277.483,296.278,348.686,328.918,310.791,346.132,360.123,391.809
BA,Camaçari,Nordeste,14.458.290,17.601.655,20.390.421,21.964.987,22.974.401,23.831.705,24.120.937,25.697.266
BA,Campo Alegre de Lourdes,Nordeste,139.953,156.005,182.240,193.531,202.946,218.001,244.153,273.625
BA,Campo Formoso,Nordeste,483.018,583.367,611.961,727.958,1.105.291,1.134.153,953.325,1.316.997
BA,Canarana,Nordeste,127.208,143.787,165.354,174.147,183.162,193.577,207.648,226.550
BA,Canavieiras,Nordeste,229.268,267.174,298.980,309.644,312.312,312.003,342.315,366.433
BA,Candeal,Nordeste,44.016,47.909,51.976,55.417,53.553,54.037,58.353,64.681
BA,Candeias,Nordeste,2.641.424,3.086.409,3.388.543,3.447.400,3.848.284,4.365.434,4.217.672,4.921.774
BA,Candiba,Nordeste,75.541,82.693,94.215,102.372,111.709,111.687,119.791,131.085
BA,Cansanção,Nordeste,179.908,198.072,244.199,250.042,254.039,259.898,284.653,309.622
BA,Canudos,Nordeste,94.628,105.845,109.173,133.184,129.679,127.483,132.049,142.999
BA,Canápolis,Nordeste,50.739,56.208,60.256,61.337,64.380,65.723,69.609,76.177
BA,Capela do Alto Alegre,Nordeste,64.618,80.326,81.782,81.481,88.386,89.662,94.738,126.705
BA,Capim Grosso,Nordeste,253.545,290.884,343.668,354.641,397.627,427.606,425.266,496.973
BA,Caravelas,Nordeste,277.084,285.985,344.764,355.621,322.092,349.036,345.157,384.963
BA,Caraíbas,Nordeste,50.468,55.864,59.925,66.115,67.441,67.920,76.341,81.633
BA,Cardeal da Silva,Nordeste,108.301,96.108,85.919,74.859,78.542,103.185,117.877,99.895
BA,Carinhanha,Nordeste,138.544,156.391,179.003,194.436,208.961,214.336,244.172,259.373
BA,Casa Nova,Nordeste,409.435,545.233,541.116,599.435,667.332,690.145,758.200,814.454
BA,Castro Alves,Nordeste,233.432,278.307,331.795,365.964,372.224,275.662,295.379,289.851
BA,Catolândia,Nordeste,50.785,56.623,63.932,72.538,75.552,85.281,76.167,66.472
