Município,UF,População,Total Despesa
Abadia de Goiás,GO,7733,26807344.15
Abadia dos Dourados,MG,6992,17827568.74
Abadiânia,GO,17701,33101011.3
Abaetetuba,PA,148873,225645048.21
Abaeté,MG,23494,41305461.35
Abaiara,CE,11226,26218479.27
Abaré,BA,19290,41703333.94
Abatiá,PR,7852,16408330.35
Abaíra,BA,9243,16185364.59
Abdon Batista,SC,2643,23855883.54
Abel Figueiredo,PA,7070,20267491.83
Abelardo Luz,SC,17651,51171326.61
Abre Campo,MG,13711,29935518.59
Abreu e Lima,PE,98201,132230204.12
Abreulândia,TO,2523,8341472.91
Acaiaca,MG,4050,12091455.82
Acajutiba,BA,15668,26050303.57
Acarape,CE,16153,29676936.81
Acaraú,CE,60684,99052336.64
Acari,RN,11349,21436950.4
Acará,PA,54047,105148537.68
Acauã,PI,6913,14077235.3
Aceguá,RS,4671,20458688.53
Acopiara,CE,52903,82471515.56
Acorizal,MT,5396,11142372.44
Acrelândia,AC,13613,23043314.76
Acreúna,GO,21549,53629449.84
Adamantina,SP,35001,127982995.6
Adelândia,GO,2554,9561945.91
Adolfo,SP,3631,25719457.46
Adrianópolis,PR,6374,22283398.01
Adustina,BA,17044,29947492.63
Afogados da Ingazeira,PE,36547,73886436.92
Afonso Bezerra,RN,11197,21992068.11
Afonso Cláudio,ES,32502,70682872.76
Afonso Cunha,MA,6277,17959123.57
Afrânio,PE,18831,37466134.87
Afuá,PA,37004,75717155.54
Agrestina,PE,24052,46772872.38
Agricolândia,PI,5087,11242135.09
Agrolândia,SC,10115,24150858.89
Agronômica,SC,5239,16125432.98
Aguanil,MG,4332,12135512.13
Aguaí,SP,34530,68781896.86
Agudo,RS,17140,43541568.11
Agudos,SP,36339,117825361.21
Agudos do Sul,PR,8892,17417295.93
Aguiar,PB,5580,14635742.62
Aguiarnópolis,TO,5987,14697685.47
Aimorés,MG,25685,49168062.93
Aiquara,BA,4790,13840934.65
Aiuaba,CE,16893,33721209.74
Aiuruoca,MG,6257,13573219.24
Ajuricaba,RS,7403,18091218.31
Alagoa,MG,2764,12573791.64
Alagoa Grande,PB,28689,42089238.61
Alagoa Nova,PB,20399,38872552.87
Alagoinha,PB,14188,29414859.71
Alagoinha,PE,14250,30510414.68
Alagoinha do Piauí,PI,7485,12894532.91
Alagoinhas,BA,153560,273395468.95
Alambari,SP,5460,18109056.42
Albertina,MG,3025,13860849.32
Alcantil,PB,5425,12898499.34
Alcinópolis,MS,4961,28426650.71
Alcobaça,BA,23231,52904567.16
Alcântara,MA,21652,34973855.42
Alcântaras,CE,11247,25169794.65
Aldeias Altas,MA,25509,50964630.25
Alecrim,RS,6935,16325822.14
Alegre,ES,32236,73055827.99
Alegrete,RS,78768,178746324.08
Alegrete do Piauí,PI,5215,11956748.23
Alegria,RS,4188,15472026.07
Alenquer,PA,54353,93666960.82
Alexandria,RN,13864,33813467.46
Alexânia,GO,25805,63796555.89
Alfenas,MG,78176,188635138.91
Alfredo Chaves,ES,14916,43808769.86
Alfredo Marcondes,SP,4083,12004008.5
Alfredo Vasconcelos,MG,6566,16620259.68
Alfredo Wagner,SC,9794,19105914.15
Algodão de Jandaíra,PB,2461,11518845.1
Aliança,PE,38248,68780364.7
Aliança do Tocantins,TO,5645,11908940.37
Almadina,BA,6234,13821129.72
Almas,TO,7480,13225487.3
Almeirim,PA,33466,86420609.87
Almenara,MG,41028,59319264.5
Almino Afonso,RN,4922,11726782.4
Almirante Tamandaré,PR,111586,150314615.39
Almirante Tamandaré do Sul,RS,2098,12183112.4
Aloândia,GO,2084,9557955.38
Alpercata,MG,7458,16702183.63
Alpestre,RS,7752,32679448.44
Alpinópolis,MG,19513,31702677.02
Alta Floresta,MT,49877,103136417.98
Alta Floresta D'Oeste,RO,25652,60359023.8
Altair,SP,4035,16259385.63
Altamira do Maranhão,MA,11699,21510743.05
Altamira do Paraná,PR,3544,15120929.79
Altaneira,CE,7271,21316327.08
Alterosa,MG,14371,24667965.88
Altinho,PE,22865,40091737.09
Altinópolis,SP,16159,50060603.36
Alto Alegre,RS,1841,9822996.04
Alto Alegre,SP,4183,15975108.76
Alto Alegre do Maranhão,MA,26056,44811397.59
Alto Alegre do Pindaré,MA,31271,61327085.7
Alto Alegre dos Parecis,RO,13884,30215793.06
Alto Araguaia,MT,17168,73788601.98
Alto Bela Vista,SC,1997,15197610.08
Alto Boa Vista,MT,5980,15889700.86
Alto Caparaó,MG,5655,13181425.53
Alto Feliz,RS,3017,12271337.37
Alto Garças,MT,11071,29170847.89
Alto Horizonte,GO,5307,67108035.14
Alto Jequitibá,MG,8532,15823877.55
Alto Longá,PI,13967,23018233.55
Alto Paraguai,MT,10592,19161851.88
Alto Paraná,PR,14427,32539186.71
Alto Paraíso,PR,3116,19672502.23
Alto Paraíso,RO,19841,31147623.48
Alto Paraíso de Goiás,GO,7328,20911546.59
Alto Parnaíba,MA,10931,25081288.92
Alto Piquiri,PR,10317,25532144.2
Alto Rio Doce,MG,12006,19274698.58
Alto Rio Novo,ES,7888,22383559.56
Alto Santo,CE,16823,33628197.71
Alto Taquari,MT,9376,38245545.58
Alto do Rodrigues,RN,13680,30042996.32
Altos,PI,39625,66222132.78
Altônia,PR,21619,44723069.44
Alumínio,SP,17924,61028917.54
Alvarenga,MG,4343,11448033.96
Alvarães,AM,15357,29521419.14
Alvinlândia,SP,3153,12427238.08
