Município,UF,População,Total Despesa
Alvinópolis,MG,15630,25140014.71
Alvorada,RS,205683,273344816.59
Alvorada,TO,8546,16675262.04
Alvorada D'Oeste,RO,17228,34956915.81
Alvorada de Minas,MG,3661,30665848.05
Alvorada do Gurguéia,PI,5249,13647393.64
Alvorada do Norte,GO,8499,23138964.5
Alvorada do Sul,PR,10965,30449661.24
Além Paraíba,MG,35641,61042605.98
Amajari,RR,10721,16896156.59
Amambai,MS,37144,91421202.08
Amaporã,PR,5885,15044024.9
Amapá,AP,8553,12159736.11
Amapá do Maranhão,MA,6731,18388687.53
Amaraji,PE,22600,44243834.11
Amaral Ferrador,RS,6737,14858025.99
Amaralina,GO,3658,11817126.4
Amarante,PI,17305,26757228.07
Amarante do Maranhão,MA,39974,69791500.92
Amargosa,BA,37557,54240373.42
Amaturá,AM,10644,21774852.03
Americana,SP,226970,675275648.35
Americano do Brasil,GO,5866,12747050.31
Ametista do Sul,RS,7565,19727832.02
Amontada,CE,41672,79660703.06
Amorinópolis,GO,3528,10990659.57
Amparo,PB,2195,10517077.1
Amparo,SP,69808,237659903.33
Amparo do Serra,MG,4997,10740593.79
Ampére,PR,18439,44757364.95
Amélia Rodrigues,BA,26458,44517306.17
América Dourada,BA,16904,32330369.8
Américo Brasiliense,SP,37691,80516621.58
Américo de Campos,SP,5930,18964777.02
Anadia,AL,17972,33552231.93
Anagé,BA,20388,52422864.41
Anahy,PR,2922,13180444.54
Analândia,SP,4672,24928663.32
Anamã,AM,11981,26494103.85
Ananindeua,PA,499776,581349288.09
Ananás,TO,9900,16489956.39
Anapu,PA,24525,61579674.69
Anastácio,MS,24642,50079578.76
Anaurilândia,MS,8801,27280735.03
Anchieta,ES,27145,73330487.24
Anchieta,SC,6066,17815772.98
Andaraí,BA,13716,31780238.28
Andirá,PR,20931,58103331.33
Andorinha,BA,14862,39010890.95
Andradas,MG,39761,72753881.13
Andradina,SP,57198,142304431.47
Andrelândia,MG,12507,21429807.7
André da Rocha,RS,1286,9708712.02
Angatuba,SP,23917,67214870.63
Angelim,PE,10795,23247612.4
Angelina,SC,5109,15680044.72
Angelândia,MG,8416,17262985.34
Angical,BA,14742,27255296.62
Angical do Piauí,PI,6697,13719502.7
Angico,TO,3355,10879737.77
Angicos,RN,11906,19427842.44
Angra dos Reis,RJ,184940,908895346.72
Anguera,BA,11209,21692708.68
Angélica,MS,9991,31811643.87
Anhembi,SP,6215,29166943.86
Anhumas,SP,3970,18379821.03
Anicuns,GO,21338,46928234.65
Anita Garibaldi,SC,8055,22017882.05
Anitápolis,SC,3256,12213429.26
Anori,AM,18826,25743064.49
Anta Gorda,RS,6228,19110167.77
Antas,BA,18970,25183775.95
Antonina,PR,19414,46615322.45
Antonina do Norte,CE,7200,18400857.87
Antônio Almeida,PI,3097,10665078.74
Antônio Cardoso,BA,12216,22848882.99
Antônio Carlos,MG,11534,17861364.38
Antônio Carlos,SC,8012,29703014.13
Antônio Dias,MG,9711,25845416.5
Antônio Gonçalves,BA,12083,21151181.02
Antônio João,MS,8612,26763527.78
Antônio Martins,RN,7188,15011476.54
Antônio Olinto,PR,7573,17785292.64
Antônio Prado,RS,13274,34205884.17
Antônio Prado de Minas,MG,1685,9020430.22
Anápolis,GO,361991,902555730.43
Anísio de Abreu,PI,9531,19520386.05
Aparecida,PB,8174,14584688.39
Aparecida,SP,36184,106901584.29
Aparecida d'Oeste,SP,4432,16215207.41
Aparecida de Goiânia,GO,511323,845319322.36
Aparecida do Rio Doce,GO,2505,14508737.92
Aparecida do Rio Negro,TO,4561,10749528.83
Aparecida do Taboado,MS,24078,74319980.62
Apiacá,ES,7920,21364172.8
Apiacás,MT,9249,24910189.42
Apiaí,SP,25349,64428758.68
Apicum-Açu,MA,17712,36592450.52
Apiúna,SC,10211,31995890.27
Apodi,RN,36120,52818167.18
Aporá,BA,19063,33659418.59
Aporé,GO,4043,24736827.11
Apuarema,BA,7780,15755224.69
Apucarana,PR,129265,260404438.85
Apuiarés,CE,14483,28432109.9
Apuí,AM,20258,33708512.49
Aquidabã,SE,21170,32987814.17
Aquidauana,MS,46998,113215718.21
Aquiraz,CE,76967,182080132.88
Arabutã,SC,4273,17912713.86
Aracaju,SE,623766,1708457428.28
Aracati,CE,72248,157908793.29
Aracatu,BA,14158,28775802.77
Araci,BA,56023,102187318.33
Aracitaba,MG,2112,8645669.91
Aracoiaba,CE,26062,67671765.62
Aracruz,ES,93325,387564083.3
Aragarças,GO,19426,31209079.49
Aragoiânia,GO,9278,18839631.8
Aragominas,TO,5933,11751600.23
Araguacema,TO,6791,14373109.78
Araguaiana,MT,3108,13399830.94
Araguainha,MT,1000,8729940.31
Araguanã,MA,14843,23671869.88
Araguanã,TO,5448,13101929.69
Araguapaz,GO,7795,17898329.01
Araguari,MG,115632,245458360.9
Araguatins,TO,33963,47259374.92
Araguaçu,TO,8822,20854218.73
Araguaína,TO,167176,297688159.91
Araioses,MA,44800,72249677.12
Aral Moreira,MS,11209,36702039.43
Aramari,BA,11237,21657225.02
Arambaré,RS,3769,14454287.23
Arame,MA,31944,50456832.03
Aramina,SP,5451,20889607.28
Arandu,SP,6343,24053869.91
Arantina,MG,2884,10681781.53
Arapeí,SP,2532,10689302.87
Arapiraca,AL,229329,578284693.35
Arapoema,TO,6821,11675314.27
Araponga,MG,8478,15677509.16
Arapongas,PR,113833,205922907.31
Araporã,MG,6593,47239208.55
Arapoti,PR,27362,62843680.55
Araputanga,MT,15926,35533174.96
Arapuá,MG,2870,10428345.68
Arapuã,PR,3469,13610167.35
Araquari,SC,31030,79143422.69
Arara,PB,13258,22878979.89
Araranguá,SC,65090,114947414.2
Araraquara,SP,224304,649252531.08
Araras,SP,127661,423735717.07
Ararendá,CE,10750,22841684.97
Araricá,RS,5249,20467729.57
Araripe,CE,21230,45212028.67
Araripina,PE,82298,140850288.38
Araruama,RJ,120948,301229962.03
Araruna,PB,19855,34993329.61
Araruna,PR,13971,33323612.86
Arataca,BA,11779,22585878.12
Aratiba,RS,6663,41013538.68
Aratuba,CE,11419,26321992.79
Aratuípe,BA,9104,16820765.61
Araucária,PR,131356,685928365.06
Arauá,SE,10684,25948446.17
Araxá,MG,101136,246405160.55
Araçagi,PB,17186,29433368.62
Araçariguama,SP,19636,83656176.69
Araças,BA,12402,44602276.38
Araçatuba,SP,191662,444708842.59
Araçaí,MG,2344,10086669.68
Araçoiaba,PE,19579,34552468.22
Araçoiaba da Serra,SP,30713,78505449.26
Araçu,GO,3800,12015500.46
Araçuaí,MG,37220,58626257.15
Araújos,MG,8645,17783038.63
Arceburgo,MG,10262,22093525.09
Arco-Íris,SP,1907,11432163.14
Arcos,MG,38946,84865495.53
Arcoverde,PE,72672,125981279.25
Areado,MG,14624,23886419.0
Areal,RJ,11879,50394256.13
Arealva,SP,8299,24291387.16
Areia,PB,23288,31660215.89
Areia Branca,SE,17996,37682734.72
Areia de Baraúnas,PB,1894,9336833.86
Areial,PB,6860,15275559.25
Areias,SP,3849,14171130.96
Areiópolis,SP,11020,28478224.24
Arenápolis,MT,9825,17892168.83
Arenópolis,GO,3122,14070088.42
Argirita,MG,2907,10731064.43
Aricanduva,MG,5078,14025599.14
Arinos,MG,18210,41383129.43
Aripuanã,MT,20293,54734399.31
Ariquemes,RO,102860,195099534.83
Ariranha,SP,9187,36766033.4
Ariranha do Ivaí,PR,2389,11639475.85
Armazém,SC,8251,17826445.12
Armação dos Búzios,RJ,30439,194497449.28
Arneiroz,CE,7768,18677769.46
Aroazes,PI,5773,11438008.83
Aroeiras,PB,19231,37255955.7
Aroeiras do Itaim,PI,2460,8306973.12
Arraial,PI,4678,11270117.39
Arraial do Cabo,RJ,28866,141000681.22
Arraias,TO,10805,16369388.0
Arroio Grande,RS,18964,47449751.2
Arroio Trinta,SC,3563,14800138.38
Arroio do Meio,RS,19923,53486987.29
Arroio do Padre,RS,2871,13373122.45
Arroio do Sal,RS,8641,34910036.24
Arroio do Tigre,RS,13277,28405299.02
Arroio dos Ratos,RS,14166,34580784.26
Artur Nogueira,SP,49346,122884596.18
Aruanã,GO,8542,28387805.33
Arujá,SP,82651,223601595.89
Arvoredo,SC,2276,15138561.82
Arvorezinha,RS,10585,24721935.44
Arês,RN,13905,33975681.94
Ascurra,SC,7732,16156908.85
Aspásia,SP,1851,10340340.08
Assaré,CE,23058,42195473.26
Assaí,PR,16322,40456647.48
Assis,SP,100911,249264258.54
Assis Brasil,AC,6610,16664361.12
Assis Chateaubriand,PR,34008,85811191.6
Assunção,PB,3782,12045026.02
Assunção do Piauí,PI,7667,17852873.28
Astolfo Dutra,MG,13840,23293427.24
Astorga,PR,25862,57754928.71
Atalaia,AL,47052,95208647.48
Atalaia,PR,4007,15268562.61
Atalaia do Norte,AM,17658,32291577.72
Atalanta,SC,3296,12111880.76
Ataléia,MG,14188,21749261.93
Atibaia,SP,135895,405824453.83
Atilio Vivacqua,ES,11023,32142753.14
Augustinópolis,TO,17386,26060235.79
Augusto Corrêa,PA,43154,76435959.83
Augusto Pestana,RS,7175,20149210.65
Augusto de Lima,MG,5051,13046909.9
Aurelino Leal,BA,13301,29494813.23
Auriflama,SP,14897,33146020.89
Aurilândia,GO,3553,12116282.97
Aurora,CE,24658,43697129.54
Aurora,SC,5668,17073087.32
Aurora do Pará,PA,28974,56661678.09
Aurora do Tocantins,TO,3654,8769225.47
Autazes,AM,36301,66761496.1
Avanhandava,SP,12516,29830040.68
Avaré,SP,87820,252081308.57
Avaí,SP,5243,18072992.39
Avelino Lopes,PI,11390,22502231.86
Avelinópolis,GO,2501,11562147.17
Axixá,MA,11780,22215764.62
Açailândia,MA,108765,196394380.77
Açu,RN,56829,95116314.26
Açucena,MG,10216,19950279.58
Babaçulândia,TO,10728,18435189.55
Bacabal,MA,102265,184676007.85
Bacabeira,MA,16276,47799699.23
Bacuri,MA,17280,16720058.28
Bacurituba,MA,5477,13248071.52
Bady Bassitt,SP,16109,45361624.19
Baependi,MG,19117,35949814.48
Bagé,RS,121500,279417913.91
Baianópolis,BA,14126,31403215.56
Baixa Grande,BA,21186,37931985.53
Baixa Grande do Ribeiro,PI,11123,37196742.72
Baixio,CE,6182,16603647.14
Baixo Guandu,ES,31298,79698612.26
Baião,PA,42513,74494440.67
Balbinos,SP,4629,12626494.71
Baldim,MG,8082,16150318.87
Baliza,GO,4321,13628205.19
Balneário Arroio do Silva,SC,11248,26955432.01
Balneário Barra do Sul,SC,9580,31218540.56
Balneário Camboriú,SC,124557,560991056.07
Balneário Gaivota,SC,9551,28093345.65
Balneário Pinhal,RS,12106,37311697.93
Balneário Piçarras,SC,19976,66844269.6
Balneário Rincão,SC,11824,35648728.7
Balsa Nova,PR,12200,46975137.93
Balsas,MA,90679,193086652.66
Bambuí,MG,23759,44153108.72
Banabuiú,CE,17842,40568309.78
Bananal,SP,10728,28748240.12
Bananeiras,PB,21276,44095257.13
Bandeira,MG,5039,13235569.58
Bandeira do Sul,MG,5639,14205382.42
Bandeirante,SC,2836,12604517.39
Bandeirantes,MS,6759,26355040.62
Bandeirantes,PR,32718,54873500.0
Bandeirantes do Tocantins,TO,3379,11701054.91
Bannach,PA,3303,17864361.99
Banzaê,BA,12560,24976777.84
Baraúna,PB,4669,11899980.0
Barbacena,MG,133972,301690813.88
Barbalha,CE,58347,168063594.95
Barbosa,SP,7064,18575685.32
Barbosa Ferraz,PR,12583,26275162.94
Barcarena,PA,112921,265763762.79
Barcelos,AM,27273,36308499.43
Bariri,SP,33761,82385840.74
Barra,BA,53786,98968326.42
Barra Bonita,SC,1815,10840559.14
Barra Bonita,SP,36315,90148581.32
Barra D'Alcântara,PI,3886,9894876.88
Barra Funda,RS,2487,12528921.14
Barra Longa,MG,5893,12033222.33
Barra Mansa,RJ,179697,438030068.82
Barra Velha,SC,25662,72335005.71
Barra da Estiva,BA,22566,38735360.11
Barra de Guabiraba,PE,13808,29645060.15
Barra de Santa Rosa,PB,14999,28140370.62
Barra de Santana,PB,8300,16425249.32
Barra de Santo Antônio,AL,15565,33999295.37
Barra de São Francisco,ES,44244,104830851.04
Barra de São Miguel,AL,8191,30232817.25
Barra de São Miguel,PB,5865,15572910.49
Barra do Bugres,MT,33365,70721173.65
Barra do Chapéu,SP,5550,15220671.0
Barra do Choça,BA,35200,68499472.9
Barra do Corda,MA,85603,130849740.61
Barra do Guarita,RS,3226,12928216.77
Barra do Jacaré,PR,2817,13192094.05
Barra do Mendes,BA,14540,28100936.81
Barra do Ouro,TO,4416,10693190.34
Barra do Piraí,RJ,96568,189387928.62
Barra do Quaraí,RS,4189,16327033.81
Barra do Ribeiro,RS,13208,30196418.91
Barra do Rio Azul,RS,1972,10644264.35
Barra do Rocha,BA,6518,17873814.73
Barra do Turvo,SP,7853,31979812.5
Barra dos Coqueiros,SE,28093,86225308.05
Barracão,PR,10187,24478486.77
Barracão,RS,5491,18566281.01
Barras,PI,45938,77799443.99
Barreira,CE,20532,38672637.44
Barreiras,BA,152208,330083206.09
Barreiras do Piauí,PI,3283,9870410.19
Barreirinha,AM,30202,52523438.65
Barreirinhas,MA,59623,103301147.96
Barreiros,PE,42105,84821556.77
Barretos,SP,118521,461818467.32
Barrinha,SP,30873,63547039.24
Barro,CE,22193,36258966.86
Barro Alto,BA,15230,29543545.98
Barro Alto,GO,9820,63620818.16
Barro Duro,PI,6941,12767043.99
Barro Preto,BA,6627,16651855.14
Barrocas,BA,15624,36349193.77
Barrolândia,TO,5579,12083555.28
Barroquinha,CE,14800,32488889.16
Barros Cassal,RS,11480,25216192.19
Barroso,MG,20590,45795238.11
Barueri,SP,259555,2076592347.35
Barão,RS,6035,18014048.71
Barão de Antonina,SP,3326,13179286.29
Barão de Cocais,MG,30893,94050755.0
Barão de Cotegipe,RS,6749,15965829.81
Barão de Grajaú,MA,18223,35857019.71
Barão de Melgaço,MT,7545,15240937.87
Barão de Monte Alto,MG,5738,13431560.4
Barão do Triunfo,RS,7360,16149391.25
Bastos,SP,21064,45955440.72
Bataguassu,MS,21463,76160313.59
Batalha,AL,18353,39872869.14
Batalha,PI,26277,41957797.76
Batatais,SP,60128,148488303.06
Batayporã,MS,11188,32997011.55
Baturité,CE,34735,59529348.69
Bauru,SP,364562,999227837.76
Bayeux,PB,95677,119229155.19
Baía Formosa,RN,9116,19947308.23
Baía da Traição,PB,8696,18205103.26
Bebedouro,SP,77558,209542095.62
Beberibe,CE,51885,101104427.24
Bela Cruz,CE,31956,53719570.51
Bela Vista,MS,24002,51927388.02
Bela Vista da Caroba,PR,3887,14000655.34
Bela Vista de Goiás,GO,27112,59030644.73
Bela Vista de Minas,MG,10362,26106597.87
Bela Vista do Maranhão,MA,10836,28767598.5
Bela Vista do Paraíso,PR,15589,29827870.74
Bela Vista do Piauí,PI,3902,10485384.6
Bela Vista do Toldo,SC,6219,18057323.89
Belford Roxo,RJ,479386,593876884.69
Belmiro Braga,MG,3500,12678652.68
Belmonte,BA,23620,48993841.3
Belmonte,SC,2696,12690405.78
Belo Campo,BA,18459,35496482.47
Belo Horizonte,MG,2491109,9128986036.51
Belo Jardim,PE,75186,136377851.81
Belo Monte,AL,6763,19025225.55
Belo Oriente,MG,25329,72758010.9
Belo Vale,MG,7803,31792246.03
Belterra,PA,16924,38638967.79
Belágua,MA,7191,19920399.1
Belém,PA,1432844,2810331422.91
Belém,PB,17545,29882008.96
Belém de Maria,PE,11833,24245410.65
Belém do Brejo do Cruz,PB,7306,18838332.69
Belém do Piauí,PI,3440,10003248.96
Belém do São Francisco,PE,20678,37961555.83
Beneditinos,PI,10021,19653830.6
Benedito Novo,SC,11037,22074752.89
Benevides,PA,57393,101716964.64
Benjamin Constant,AM,38533,68104117.51
Benjamin Constant do Sul,RS,2284,11186852.95
Bento Fernandes,RN,5422,13432234.63
Bento Gonçalves,RS,112318,362790254.69
Bento de Abreu,SP,2855,14444743.84
Bequimão,MA,20837,37689377.78
Berilo,MG,12469,20193156.61
Berizal,MG,4630,11828932.63
Bernardino Batista,PB,3312,13989778.32
Bernardino de Campos,SP,11146,27033753.53
Bernardo Sayão,TO,4540,11725470.31
Bernardo do Mearim,MA,5860,13816510.25
Bertioga,SP,55138,321486880.43
Bertolínia,PI,5396,14078378.07
Bertópolis,MG,4656,11246170.5
Beruri,AM,17755,36080868.63
Betim,MG,412003,1400910024.73
Betânia,PE,12487,27269617.74
Betânia do Piauí,PI,6092,14742720.03
Bezerros,PE,60301,104321753.21
Bias Fortes,MG,3724,10141071.95
Bicas,MG,14342,26680193.01
Biguaçu,SC,63440,139004286.38
Bilac,SP,7602,21319605.03
Biquinhas,MG,2652,11326828.46
Birigui,SP,117143,289117315.85
Biritiba-Mirim,SP,30830,57223544.78
Biritinga,BA,15769,32385696.97
Bituruna,PR,16448,43465586.46
Blumenau,SC,334002,1200401112.68
Boa Esperança,ES,15244,42521609.95
Boa Esperança,MG,40155,82746338.1
Boa Esperança,PR,4518,17183726.46
Boa Esperança do Iguaçu,PR,2739,13519607.88
Boa Esperança do Sul,SP,14452,38677832.09
Boa Hora,PI,6560,13721968.66
Boa Nova,BA,14861,30305856.01
Boa Saúde,RN,9767,21974744.79
Boa Ventura,PB,5540,14123710.43
Boa Ventura de São Roque,PR,6692,19604279.31
Boa Viagem,CE,53725,92363576.52
Boa Vista,PB,6779,17076521.46
Boa Vista,RR,314900,954995505.73
Boa Vista da Aparecida,PR,7998,25654257.95
Boa Vista das Missões,RS,2171,11537998.11
Boa Vista do Buricá,RS,6808,20091780.1
Boa Vista do Cadeado,RS,2522,14889625.51
Boa Vista do Gurupi,MA,8816,13855471.74
Boa Vista do Incra,RS,2549,14785396.24
Boa Vista do Ramos,AM,17248,29724480.12
Boa Vista do Sul,RS,2859,15294071.19
Boa Vista do Tupim,BA,18677,37959705.29
Boca da Mata,AL,27185,65521630.45
Boca do Acre,AM,33148,52001317.4
Bocaina,PI,4431,10454837.62
Bocaina,SP,11691,32187197.27
Bocaina de Minas,MG,5169,10989957.07
Bocaina do Sul,SC,3408,13547153.51
Bocaiúva,MG,49293,84141937.6
Bocaiúva do Sul,PR,11996,25394234.75
Bodocó,PE,37054,70012289.51
Bodoquena,MS,7938,37096482.8
Bodó,RN,2385,13531244.69
Bofete,SP,10694,32867446.71
Boituva,SP,54594,178526570.89
Bom Conselho,PE,47520,108670605.22
Bom Despacho,MG,48802,97991101.45
Bom Jardim,PE,38871,65830194.5
Bom Jardim,RJ,26126,76561991.03
Bom Jardim da Serra,SC,4598,14390132.34
Bom Jardim de Goiás,GO,8790,18285245.05
Bom Jardim de Minas,MG,6658,15399474.69
Bom Jesus,PB,2514,13055940.42
Bom Jesus,PI,24092,59645096.04
Bom Jesus,RN,10040,18504644.38
Bom Jesus,RS,11809,34938240.94
Bom Jesus,SC,2771,12814059.47
Bom Jesus da Lapa,BA,68922,129800773.96
Bom Jesus da Penha,MG,4121,14839725.77
Bom Jesus da Serra,BA,10597,22290040.58
Bom Jesus de Goiás,GO,22872,55834182.81
Bom Jesus do Amparo,MG,5871,13049261.66
Bom Jesus do Araguaia,MT,5889,16391784.3
Bom Jesus do Galho,MG,15587,21799495.57
Bom Jesus do Itabapoana,RJ,35896,90162052.06
Bom Jesus do Norte,ES,10136,22120260.92
Bom Jesus do Oeste,SC,2158,11672037.28
Bom Jesus do Sul,PR,3800,15315705.24
Bom Jesus do Tocantins,PA,16074,29622732.16
Bom Jesus do Tocantins,TO,4361,8780383.14
Bom Jesus dos Perdões,SP,22508,66040650.73
Bom Lugar,MA,15655,26750649.11
Bom Princípio,RS,12792,46434100.95
Bom Princípio do Piauí,PI,5474,14780907.54
Bom Progresso,RS,2285,10695850.35
Bom Repouso,MG,10763,20200615.65
Bom Retiro,SC,9498,17924852.27
Bom Retiro do Sul,RS,12058,25041465.29
Bom Sucesso,MG,17832,31470608.81
Bom Sucesso,PB,5025,10825141.07
Bom Sucesso,PR,6906,20664012.67
Bom Sucesso de Itararé,SP,3802,13900876.68
Bom Sucesso do Sul,PR,3368,15487965.39
Bombinhas,SC,16897,89695937.89
Bonfim,MG,7014,14845023.96
Bonfim,RR,11632,27822057.63
Bonfim do Piauí,PI,5531,11049512.83
Bonfinópolis,GO,8508,14432467.22
Bonfinópolis de Minas,MG,5867,17483981.2
Boninal,BA,14490,25598418.66
Bonito,BA,16730,32305501.29
Bonito,MS,20825,66875906.19
Bonito,PE,38122,70059610.93
Bonito de Minas,MG,10535,20917716.82
Bonito de Santa Fé,PB,11549,22484255.65
Bonópolis,GO,3916,13938422.65
Boqueirão,PB,17530,35559727.49
Boqueirão do Leão,RS,7911,16256828.29
Boqueirão do Piauí,PI,6359,14684547.35
Boquim,SE,26640,46042515.42
Boquira,BA,22409,37891776.39
Boracéia,SP,4586,22106604.43
Borba,AM,38688,76755678.79
Borborema,PB,5332,12911599.96
Borborema,SP,15454,40292424.22
Borda da Mata,MG,18481,33345982.31
Borebi,SP,2489,14455205.96
Borrazópolis,PR,7608,17773187.2
Borá,SP,835,9676098.91
Bossoroca,RS,6912,22007678.39
Botelhos,MG,15325,24659283.32
Botucatu,SP,137899,333045937.18
Botumirim,MG,6593,13187573.59
Botuporã,BA,11089,28590339.39
Botuverá,SC,4864,22945302.91
Bozano,RS,2243,10713443.65
Braga,RS,3711,11197889.84
Braganey,PR,5770,17922202.98
Bragança,PA,120124,134708555.47
Bragança Paulista,SP,158856,425648466.36
Branquinha,AL,10783,32535726.98
Brasil Novo,PA,15139,41863940.39
Brasileira,PI,8139,13483203.54
Brasilândia,MS,11923,46119091.1
Brasilândia de Minas,MG,15522,28642361.76
Brasilândia do Sul,PR,3086,16092403.38
Brasilândia do Tocantins,TO,2166,8845543.12
Brasiléia,AC,23378,40819501.24
Brasnorte,MT,17361,49528144.45
Brasília de Minas,MG,32473,61393584.96
Brazabrantes,GO,3485,12131242.17
Brazópolis,MG,14957,24072759.16
Braço do Norte,SC,31319,66708801.57
Braço do Trombudo,SC,3627,15803267.15
Braúna,SP,5400,16754413.77
Braúnas,MG,5068,12773147.08
Brejetuba,ES,12712,34309566.29
Brejinho,PE,7464,22250453.6
Brejinho,RN,12399,21933023.77
Brejinho de Nazaré,TO,5426,12754806.65
Brejo,MA,35124,58317827.38
Brejo Alegre,SP,2746,15826324.54
Brejo Grande,SE,8165,20068104.29
Brejo Grande do Araguaia,PA,7258,19988684.49
Brejo Santo,CE,47645,132515480.15
