UF,Municipio,Regiao,PIB,Ano
PR,Nova América da Colina,Sul,,2021
CE,Irauçuba,Nordeste,191.993,2020
RS,São Martinho da Serra,Sul,156.832,2020
SP,Murutinga do Sul,Sudeste,85.270,2020
PR,Floraí,Sul,234.246,2020
PI,Agricolândia,Nordeste,43.373,2020
BA,Dom Macedo Costa,Nordeste,,2021
MG,Mesquita,Sudeste,51.894,2020
MG,Fronteira,Sudeste,1.020.812,2020
SP,Palmares Paulista,Sudeste,131.300,2020
PA,Santo Antônio do Tauá,Norte,432.120,2020
RN,São Rafael,Nordeste,85.016,2020
BA,Lajedo do Tabocal,Nordeste,,2021
MG,Coronel Pacheco,Sudeste,54.452,2020
MG,Braúnas,Sudeste,203.235,2020
PE,Sertânia,Nordeste,360.987,2020
RS,Formigueiro,Sul,192.870,2020
BA,Itiruçu,Nordeste,111.121,2020
CE,Ipueiras,Nordeste,,2021
MG,Jesuânia,Sudeste,,2021
PE,Flores,Nordeste,183.787,2020
MT,Juscimeira,Centro-Oeste,417.591,2020
MS,Laguna Carapã,Centro-Oeste,725.706,2020
RN,Serra Negra do Norte,Nordeste,98.771,2020
MG,Lagoa Dourada,Sudeste,,2021
RN,João Dias,Nordeste,26.178,2020
GO,São Patrício,Centro-Oeste,45.445,2020
SC,Flor do Sertão,Sul,,2021
RN,Angicos,Nordeste,,2021
AL,Quebrangulo,Nordeste,,2021
RS,Braga,Sul,98.676,2020
MA,Cachoeira Grande,Nordeste,57.107,2020
CE,Orós,Nordeste,,2021
SP,Barbosa,Sudeste,,2021
