UF,Municipio,Regiao,PIB,Ano
RJ,São Sebastião do Alto,Sudeste,230.750,2020
PA,Tracuateua,Norte,,2021
PI,Pedro Laurentino,Nordeste,27.408,2020
MA,Feira Nova do Maranhão,Nordeste,88.347,2020
MS,Anaurilândia,Centro-Oeste,322.123,2020
SP,Torre de Pedra,Sudeste,,2021
MG,Sericita,Sudeste,,2021
MG,Bueno Brandão,Sudeste,182.159,2020
MG,Lagoa dos Patos,Sudeste,,2021
GO,Buritinópolis,Centro-Oeste,,2021
MA,Palmeirândia,Nordeste,,2021
SC,Tunápolis,Sul,,2021
RS,Boa Vista do Cadeado,Sul,216.746,2020
SP,Elisiário,Sudeste,,2021
SE,Gracho Cardoso,Nordeste,,2021
SP,Tarabai,Sudeste,143.040,2020
AM,Itapiranga,Norte,134.222,2020
MT,Nova Brasilândia,Centro-Oeste,88.525,2020
SP,Guarantã,Sudeste,187.184,2020
MG,Palmópolis,Sudeste,,2021
BA,Nova Canaã,Nordeste,,2021
RS,Campo Novo,Sul,,2021
SC,Balneario Rincao,Sul,,2018
PB,Tavares,Nordeste,130.641,2020
PB,Marcação,Nordeste,87.584,2020
PA,Terra Alta,Norte,,2021
RN,Várzea,Nordeste,55.570,2020
GO,Firminópolis,Centro-Oeste,220.975,2020
BA,Barra do Mendes,Nordeste,102.858,2020
TO,Talismã,Norte,,2021
MA,Fortaleza dos Nogueiras,Nordeste,,2021
PI,José de Freitas,Nordeste,,2021
SP,Nipoã,Sudeste,92.935,2020
GO,Campos Belos,Centro-Oeste,,2021
BA,Várzea do Poço,Nordeste,97.966,2020
SP,Macaubal,Sudeste,186.630,2020
BA,Aporá,Nordeste,139.547,2020
PR,Ourizona,Sul,150.007,2020
PR,São Manoel do Paraná,Sul,,2021
PR,Boa Ventura de São Roque,Sul,300.664,2020
BA,Teolândia,Nordeste,200.649,2020
CE,Itapiúna,Nordeste,,2021
GO,Moiporá,Centro-Oeste,42.962,2020
MG,Datas,Sudeste,,2021
MG,Mato Verde,Sudeste,,2021
PE,Amaraji,Nordeste,297.482,2020
MG,Alterosa,Sudeste,,2021
RS,Paraíso do Sul,Sul,149.974,2020
MG,Consolação,Sudeste,28.824,2020
MG,Bugre,Sudeste,,2021
AC,Acrelândia,Norte,,2021
CE,Novo Oriente,Nordeste,255.795,2020
TO,Santa Tereza do Tocantins,Norte,38.138,2020
SE,Brejo Grande,Nordeste,92.232,2020
AM,Santa Isabel do Rio Negro,Norte,157.255,2020
SC,Anitápolis,Sul,,2021
SE,Ilha das Flores,Nordeste,,2021
MA,Anajatuba,Nordeste,,2021
PR,Munhoz de Melo,Sul,,2021
MG,Cristiano Otoni,Sudeste,131.011,2020
MG,Consolação,Sudeste,,2021
MA,Benedito Leite,Nordeste,,2021
SP,Oscar Bressane,Sudeste,104.646,2020
BA,Nova Redenção,Nordeste,65.914,2020
MT,Reserva do Cabaçal,Centro-Oeste,,2021
PB,Bom Sucesso,Nordeste,,2021
GO,Petrolina de Goiás,Centro-Oeste,161.731,2020
CE,Itapiúna,Nordeste,163.015,2020
RS,Forquetinha,Sul,,2021
MG,São Domingos das Dores,Sudeste,79.077,2020
PI,Riacho Frio,Nordeste,,2021
CE,Mulungu,Nordeste,123.469,2020
MG,Congonhas do Norte,Sudeste,44.957,2020
RS,Quinze de Novembro,Sul,155.656,2020
BA,Rafael Jambeiro,Nordeste,,2021
TO,Aurora do Tocantins,Norte,51.568,2020
MT,Alto Paraguai,Centro-Oeste,,2021
RN,São Fernando,Nordeste,55.347,2020
SE,Pedra Mole,Nordeste,51.907,2020
PA,Placas,Norte,,2021
MG,Mathias Lobato,Sudeste,,2021
PA,Mojui dos Campos,Norte,,2019
RS,Benjamin Constant do Sul,Sul,,2021
MA,Jatobá,Nordeste,,2021
GO,Iporá,Centro-Oeste,,2021
MG,Ibitiúra de Minas,Sudeste,,2021
RN,Itaú,Nordeste,,2021
MA,Lagoa do Mato,Nordeste,84.460,2020
