Municipio,UF,População,Total Despesa
Cristópolis,BA,14189,22465250.0
Crisólita,MG,6408,12391537.76
Crisópolis,BA,21435,35103667.37
Crixás,GO,16487,42799947.6
Crixás do Tocantins,TO,1651,7341541.18
Croatá,CE,17569,30969976.59
Cromínia,GO,3627,9171552.17
Crucilândia,MG,4966,11863257.89
Cruz,CE,23344,43082182.83
Cruz Alta,RS,64126,104729751.54
Cruz Machado,PR,18702,35837444.5
Cruz das Almas,BA,63299,82490639.9
Cruz do Espírito Santo,PB,16836,26096919.7
Cruzaltense,RS,2136,8970662.66
Cruzeiro,SP,80408,142628777.11
Cruzeiro da Fortaleza,MG,4103,14310393.29
Cruzeiro do Iguaçu,PR,4383,15246794.55
Cruzeiro do Oeste,PR,21107,40441061.17
Cruzeiro do Sul,AC,80377,106207031.9
Cruzeiro do Sul,PR,4656,12897908.5
Cruzeiro do Sul,RS,12876,22728582.87
Cruzeta,RN,8182,13228401.99
Cruzmaltina,PR,3185,8934876.73
Cruzália,SP,2260,11907271.9
Cruzília,MG,15227,20520201.87
Cubati,PB,7106,13507809.48
Cubatão,SP,125178,922297210.17
Cuiabá,MT,569830,1306297688.24
Cuitegi,PB,6895,12502191.92
Cuité,PB,20299,34081744.87
Cuité de Mamanguape,PB,6321,14182636.44
Cujubim,RO,19410,28618211.94
Cumari,GO,3010,10720966.19
Cumaru,PE,14815,27332944.01
Cumaru do Norte,PA,11704,27340163.05
Cumbe,SE,3955,10528822.26
Cunha,SP,22251,41697059.95
Cunha Porã,SC,10905,21908945.32
Cunhataí,SC,1931,8549517.12
Cuparaque,MG,4895,11243475.31
Cupira,PE,23695,42775678.17
Curaçá,BA,34725,61877055.74
Curimatá,PI,11030,17654055.59
Curionópolis,PA,17983,51901552.49
Curitiba,PR,1848946,6218934651.48
Curitibanos,SC,38890,69006788.75
Curiúva,PR,14620,22691588.93
Currais,PI,4811,12803653.87
Currais Novos,RN,44528,55270789.12
Curral Novo do Piauí,PI,5027,10431085.65
Curral Velho,PB,2529,8763754.14
Curral de Cima,PB,5259,10197902.16
Curral de Dentro,MG,7345,12237485.13
Curralinhos,PI,4297,9382307.04
Cururupu,MA,31149,45566690.89
Curuá,PA,13097,23959781.46
Curvelo,MG,77824,115263719.57
Curvelândia,MT,4961,10050652.98
Custódia,PE,35574,61986522.64
Cutias,AP,5173,
Cáceres,MT,89683,106753601.16
Cássia,MG,17967,29586006.35
Cássia dos Coqueiros,SP,2657,11312636.71
Cândido Godói,RS,6654,14897168.43
Cândido Mendes,MA,19426,28305436.8
Cândido Mota,SP,30993,67695609.33
Cândido Rodrigues,SP,2767,13928028.26
Cândido Sales,BA,27057,46717893.96
Cândido de Abreu,PR,16633,28293460.12
Céu Azul,PR,11528,31756166.27
Cícero Dantas,BA,34424,43907137.71
Córrego Danta,MG,3426,9939082.18
Córrego Fundo,MG,6110,14145244.3
Córrego Novo,MG,3100,9684127.65
Córrego do Bom Jesus,MG,3819,8276333.34
Córrego do Ouro,GO,2616,10299462.1
Cônego Marinho,MG,7464,12698799.88
Damianópolis,GO,3381,10531110.31
Damião,PB,5142,11707726.51
Damolândia,GO,2869,9125899.64
Darcinópolis,TO,5670,10700853.02
Datas,MG,5409,13024544.63
David Canabarro,RS,4834,12269747.89
Davinópolis,GO,2119,13999420.61
Davinópolis,MA,12646,24872284.48
Delfim Moreira,MG,8197,12938788.79
Delfinópolis,MG,7096,25123676.66
Delmiro Gouveia,AL,50999,89236937.37
Delta,MG,9053,27142371.64
Demerval Lobão,PI,13496,14466918.1
Denise,MT,8816,13733332.25
Deodápolis,MS,12524,20857005.64
Deputado Irapuan Pinheiro,CE,9360,19402627.81
Derrubadas,RS,3199,14409567.84
Descalvado,SP,32595,91855349.85
Descanso,SC,8612,15734503.14
Descoberto,MG,4968,10704429.78
Desterro,PB,8196,13860939.15
Desterro de Entre Rios,MG,7259,12548367.39
Desterro do Melo,MG,3060,9503632.36
Dezesseis de Novembro,RS,2853,9675042.0
Diadema,SP,406718,915549163.39
Diamante,PB,6636,13583117.05
Diamante D'Oeste,PR,5223,12522693.29
Diamante do Norte,PR,5540,12939903.44
Diamantina,MG,47647,64847595.3
Diamantino,MT,20822,52074642.2
Dianópolis,TO,20566,28561618.02
Dias d'Ávila,BA,75103,111206957.14
Dilermando de Aguiar,RS,3144,10465414.77
Diogo de Vasconcelos,MG,3935,9493345.92
Dionísio,MG,8657,13900218.73
Dionísio Cerqueira,SC,15227,43421714.63
Diorama,GO,2544,9907742.42
Dirce Reis,SP,1760,10116620.08
Dirceu Arcoverde,PI,6818,8760651.43
Divina Pastora,SE,4715,23706659.86
Divino,MG,19879,29775499.74
Divino das Laranjeiras,MG,5078,12166417.59
Divino de São Lourenço,ES,4688,15051196.13
Divinolândia,SP,11604,23538989.01
Divinolândia de Minas,MG,7376,11717979.86
Divinésia,MG,3417,9651333.92
Divinópolis,MG,226345,397170545.51
Divinópolis de Goiás,GO,5046,12386826.67
Divinópolis do Tocantins,TO,6681,11455475.38
Divisa Alegre,MG,6315,13544425.12
Divisa Nova,MG,5990,10946496.6
Divisópolis,MG,9838,14830458.6
Dobrada,SP,8432,15101681.59
Dois Irmãos,RS,29528,64994418.99
Dois Irmãos das Missões,RS,2192,11927047.93
Dois Irmãos do Buriti,MS,10793,31757024.86
Dois Irmãos do Tocantins,TO,7319,10535838.42
Dois Lajeados,RS,3403,11807517.69
Dois Riachos,AL,11234,22809621.83
Dois Vizinhos,PR,38385,69383960.26
Dolcinópolis,SP,2148,11433629.1
Dom Aquino,MT,8101,15809890.06
Dom Basílio,BA,12379,26997873.56
Dom Bosco,MG,3872,9911292.58
Dom Cavati,MG,5303,10966397.54
Dom Eliseu,PA,54602,80029736.61
Dom Expedito Lopes,PI,6712,10234626.12
Dom Feliciano,RS,15038,29501325.26
Dom Inocêncio,PI,9364,12988464.37
Dom Joaquim,MG,4632,14108808.46
Dom Macedo Costa,BA,4127,10031145.63
Dom Pedrito,RS,39957,69863841.5
Dom Pedro,MA,22844,1.0
Dom Pedro de Alcântara,RS,2623,8533628.31
Dom Silvério,MG,5344,10512075.61
Dom Viçoso,MG,3074,8676937.28
Domingos Martins,ES,34059,83009421.7
Domingos Mourão,PI,4292,8998091.94
Dona Emma,SC,3912,10714559.17
Dona Eusébia,MG,6334,11706838.62
Dona Francisca,RS,3421,11050666.16
Dona Inês,PB,10535,20539521.09
Dores de Campos,MG,9805,12124462.65
Dores de Guanhães,MG,5343,14390922.25
Dores do Indaiá,MG,14048,22883253.58
Dores do Rio Preto,ES,6827,16865726.04
Dores do Turvo,MG,4516,9864612.86
Doresópolis,MG,1504,9033840.32
Dormentes,PE,17925,34959283.11
Douradina,MS,5616,14026735.39
Douradina,PR,8007,19443386.21
Dourado,SP,8884,20373794.8
Douradoquara,MG,1909,10542972.69
Dourados,MS,207498,535334226.79
Doutor Camargo,PR,6024,11938383.19
Doutor Maurício Cardoso,RS,5301,16044087.18
Doutor Pedrinho,SC,3828,10942576.87
Doutor Ricardo,RS,2082,9288497.67
Doutor Severiano,RN,7178,14140096.46
Doutor Ulysses,PR,5837,13110760.61
Doverlândia,GO,7938,15575086.85
Dracena,SP,45346,86613746.33
Duartina,SP,12585,28322820.17
Duas Barras,RJ,11070,40957698.28
Duas Estradas,PB,3645,10428222.11
Dueré,TO,4718,10785460.85
Dumont,SP,8874,22229556.92
Duque Bacelar,MA,10942,20980303.86
Duque de Caxias,RJ,873921,1765264027.63
Durandé,MG,7747,12743250.54
Echaporã,SP,6389,17930621.82
Ecoporanga,ES,24327,50195832.69
Edealina,GO,3819,14814989.38
Edéia,GO,11854,27557073.0
Eirunepé,AM,33127,46685751.57
Eldorado,MS,12029,32682691.33
Eldorado,SP,15238,36440927.64
Eldorado do Carajás,PA,32420,49730179.4
Eldorado do Sul,RS,36911,76687242.98
Elesbão Veloso,PI,14496,19269169.45
Elias Fausto,SP,16762,44229211.87
Eliseu Martins,PI,4773,10072501.74
Elisiário,SP,3359,12534814.92
Elísio Medrado,BA,8426,13459051.54
Elói Mendes,MG,26759,39936049.82
Emas,PB,3439,9929252.86
Embaúba,SP,2486,10726410.69
Embu das Artes,SP,256247,419900990.26
Embu-Guaçu,SP,66273,114042418.49
Emilianópolis,SP,3149,10827817.17
Encantado,RS,21609,45264878.43
Encanto,RN,5515,12501538.7
Encruzilhada,BA,21418,37634965.87
Encruzilhada do Sul,RS,25563,43426276.07
Engenheiro Beltrão,PR,14298,28421577.44
Engenheiro Caldas,MG,10812,20616421.11
Engenheiro Coelho,SP,17681,36470352.86
Engenheiro Navarro,MG,7345,11658764.07
Engenheiro Paulo de Frontin,RJ,13505,39958095.57
Engenho Velho,RS,1462,9080804.93
Entre Folhas,MG,5360,9773148.44
Entre Rios,BA,42640,72234164.85
Entre Rios,SC,3118,11518775.5
Entre Rios de Minas,MG,14940,20877069.82
Entre Rios do Oeste,PR,4202,21474291.55
Entre Rios do Sul,RS,3108,12119195.42
Entre-Ijuís,RS,9101,19287260.81
Envira,AM,18051,32942085.2
Enéas Marques,PR,6223,14268940.0
Epitaciolândia,AC,16099,20186897.15
Equador,RN,6054,12577736.65
Erebango,RS,3063,11642151.48
Erechim,RS,101122,178608267.94
Ererê,CE,7041,14183963.47
Ermo,SC,2081,9358652.33
Ernestina,RS,3198,11428531.05
Erval Grande,RS,5248,13041986.76
Erval Seco,RS,7899,15889130.34
Erval Velho,SC,4448,12459299.41
Ervália,MG,18707,24204281.2
Escada,PE,66419,86286556.32
Esmeralda,RS,3287,12856137.68
Esmeraldas,MG,65224,78567071.61
Espera Feliz,MG,24098,32052885.03
Esperantina,PI,38607,49819904.56
Esperantina,TO,10203,16015050.31
Esperantinópolis,MA,17460,31364636.51
Esperança,PB,32264,50373596.9
Esperança Nova,PR,1946,8660375.12
Esperança do Sul,RS,3291,11011854.8
Espigão Alto do Iguaçu,PR,4642,11768667.3
Espigão D'Oeste,RO,31699,42515592.02
Espinosa,MG,32081,37637532.41
Esplanada,BA,35930,79412611.36
Espumoso,RS,15770,31644527.51
Espírito Santo,RN,10753,13366458.99
Espírito Santo do Dourado,MG,4625,9809523.46
Espírito Santo do Pinhal,SP,43611,75182601.29
Espírito Santo do Turvo,SP,4525,16198184.61
Estação,RS,6178,13320335.96
Esteio,RS,83700,153244841.92
Estiva,MG,11285,15933803.22
Estiva Gerbi,SP,10669,27112329.66
Estreito,MA,38932,69664572.4
Estrela,RS,32309,63207400.28
Estrela Dalva,MG,2496,9610050.41
Estrela Velha,RS,3741,14257830.69
Estrela d'Oeste,SP,8458,22677997.92
Estrela de Alagoas,AL,18123,27264718.97
Estrela do Indaiá,MG,3602,9079199.35
Estrela do Norte,SP,2752,13761506.1
Estrela do Sul,MG,7804,16682897.86
Estância,SE,67491,147251905.97
Estância Velha,RS,45500,85074005.6
Euclides da Cunha,BA,60558,80511644.2
Euclides da Cunha Paulista,SP,9729,22396616.54
Eugenópolis,MG,11042,15470184.99
Eugênio de Castro,RS,2795,11378744.07
Eunápolis,BA,110803,182062629.71
Eusébio,CE,49455,144030912.14
Ewbank da Câmara,MG,3901,9318472.23
Extrema,MG,31693,86693553.32
Extremoz,RN,26677,54391452.08
Exu,PE,32076,51559977.1
Fagundes,PB,11449,16856880.12
Fagundes Varela,RS,2689,11358528.66
Faina,GO,7064,14605572.36
Fama,MG,2419,8028681.43
Faria Lemos,MG,3423,8818243.56
Farias Brito,CE,19015,38006432.8
Faro,PA,7680,15429548.82
Farol,PR,3456,11898131.31
Farroupilha,RS,67465,155453356.68
Fartura,SP,15889,33234574.88
Faxinal,PR,17006,26873734.43
Faxinal do Soturno,RS,6871,14087413.06
Faxinal dos Guedes,SC,10797,28712944.4
Faxinalzinho,RS,2587,8299935.22
Fazenda Nova,GO,6298,14209175.91
Fazenda Rio Grande,PR,89037,131167114.38
Fazenda Vilanova,RS,3993,14806767.52
Feijó,AC,32411,36044359.75
Feira Grande,AL,22377,35991675.38
Feira Nova,PE,21444,33720310.34
Feira Nova,SE,5529,12441623.96
Feira Nova do Maranhão,MA,8263,16067837.75
Feira da Mata,BA,5908,12778667.7
Feira de Santana,BA,606139,727846830.41
Felipe Guerra,RN,5973,16896835.13
Felisburgo,MG,7236,13843768.43
Felixlândia,MG,14864,28386188.11
Feliz,RS,12992,31213115.73
Feliz Deserto,AL,4678,13937050.48
Feliz Natal,MT,12088,26597872.75
Felício dos Santos,MG,5157,12371779.73
Fernandes Pinheiro,PR,6008,18352803.73
Fernandes Tourinho,MG,3232,10951086.24
Fernando Falcão,MA,9783,16611839.29
Fernando Pedroza,RN,3000,8613202.56
Fernando Prestes,SP,5736,16379676.47
Fernandópolis,SP,67543,131898827.7
Fernão,SP,1646,8853530.43
Ferraz de Vasconcelos,SP,180326,246037235.65
Ferreira Gomes,AP,6525,30493841.1
Ferreiros,PE,11850,23890680.17
Ferros,MG,10807,18240468.68
Fervedouro,MG,10822,18798644.45
Figueira,PR,8364,13617206.78
Figueirão,MS,2997,15152538.21
Figueirópolis,TO,5421,10747818.95
Figueirópolis D'Oeste,MT,3651,9664866.6
Filadélfia,BA,17603,28580674.93
Filadélfia,TO,8800,14825514.43
Firmino Alves,BA,5744,12113074.68
Firminópolis,GO,12342,9493440.26
Flor da Serra do Sul,PR,4822,12448166.78
Flor do Sertão,SC,1605,9734933.74
Flora Rica,SP,1699,9983586.84
Floraí,PR,5149,13108425.48
Floreal,SP,3042,12224094.03
Flores,PE,22610,40267394.63
Flores da Cunha,RS,28739,67521688.65
Flores de Goiás,GO,13596,25693412.68
Flores do Piauí,PI,4396,8760651.43
Floresta,PE,31088,62984962.52
Floresta,PR,6324,11455992.21
Floresta Azul,BA,11392,18402697.96
Floresta do Araguaia,PA,18741,37175863.31
Floresta do Piauí,PI,2511,7941880.53
Florestal,MG,7026,14301278.04
Florestópolis,PR,11328,18760586.45
Floriano,PI,58586,95029490.0
Floriano Peixoto,RS,2021,9136544.97
Florianópolis,SC,453285,1154364933.38
Florânia,RN,9245,11854977.92
Florínia,SP,2843,16798018.6
Flórida,PR,2650,9546260.05
Flórida Paulista,SP,13704,26307980.07
Fonte Boa,AM,21859,44325107.27
Fontoura Xavier,RS,10945,21102866.65
Formiga,MG,67617,104579980.1
Formigueiro,RS,7144,14851322.85
Formosa,GO,108503,168958794.07
Formosa da Serra Negra,MA,18087,29675334.52
Formosa do Oeste,PR,7468,16803475.11
Formosa do Rio Preto,BA,24799,65355326.55
Formosa do Sul,SC,2603,10669137.19
Formoso,GO,4835,12428170.69
Formoso,MG,8817,15011606.5
Formoso do Araguaia,TO,18804,29846926.89
Forquetinha,RS,2537,10387211.68
Forquilha,CE,22998,34741122.2
Forquilhinha,SC,24256,52775393.46
Fortaleza,CE,2551806,4812040669.91
Fortaleza de Minas,MG,4302,14797861.77
Fortaleza dos Nogueiras,MA,12343,21987594.37
Fortaleza dos Valos,RS,4654,18045443.49
Fortim,CE,15603,27390214.35
Fortuna,MA,15212,20980303.86
Fortuna de Minas,MG,2850,10729896.75
Foz do Iguaçu,PR,263508,519366731.7
Foz do Jordão,PR,5346,14208940.42
Fraiburgo,SC,35618,75368926.11
Franca,SP,336734,509590522.78
Francinópolis,PI,5270,8134522.52
Francisco Alves,PR,6483,14229650.22
Francisco Ayres,PI,4392,8839219.3
Francisco Badaró,MG,10542,14092447.77
Francisco Beltrão,PR,84437,148692853.06
Francisco Dantas,RN,2929,8670741.33
Francisco Dumont,MG,5098,11274954.13
Francisco Macedo,PI,2984,8161854.61
Francisco Morato,SP,164718,257730788.2
Francisco Santos,PI,8924,12635261.75
Francisco Sá,MG,25983,39125787.98
Franciscópolis,MG,5825,11769112.22
Franco da Rocha,SP,141824,196572686.62
Frecheirinha,CE,13402,23255475.47
Frederico Westphalen,RS,30251,56051584.25
Frei Gaspar,MG,6033,13217371.29
Frei Inocêncio,MG,9366,15402659.55
Frei Lagonegro,MG,3462,10538446.93
Frei Martinho,PB,2981,9678030.45
Frei Miguelinho,PE,14932,22876197.49
Frei Paulo,SE,14730,29663408.45
Frei Rogério,SC,2354,9488828.03
Fronteira,MG,15658,35140379.13
Fronteira dos Vales,MG,4777,11078218.92
Fronteiras,PI,11368,29002220.67
Fruta de Leite,MG,5919,12808662.66
Frutal,MG,56720,104163586.8
Frutuoso Gomes,RN,4280,12179106.33
Fundão,ES,19177,49489875.7
Funilândia,MG,4108,10925276.31
Fátima,BA,18524,30932519.89
Fátima,TO,3892,7570014.02
Fátima do Sul,MS,19260,33640143.15
Fênix,PR,4917,13395935.93
Gabriel Monteiro,SP,2790,11132720.32
Gado Bravo,PB,8466,16216912.75
Galiléia,MG,7092,13833835.12
Galinhos,RN,2446,12876891.56
Galvão,SC,3379,10580380.74
Gameleira,PE,29515,42811495.02
Gameleira de Goiás,GO,3545,11371377.75
Gameleiras,MG,5264,12993676.09
Gandu,BA,32814,43413008.65
Garanhuns,PE,135138,393892075.12
Gararu,SE,11712,18674580.33
Garibaldi,RS,32578,77605506.52
Garopaba,SC,20024,41736748.6
Garrafão do Norte,PA,25287,53056852.74
Garruchos,RS,3260,14632011.25
Garuva,SC,16081,42133362.22
Garça,SP,44479,105583618.39
Gaspar,SC,62618,143545433.62
Gastão Vidigal,SP,4482,12949762.96
Gaurama,RS,5963,13743447.57
Gavião Peixoto,SP,4635,23575827.42
Gaúcha do Norte,MT,6761,20245596.18
Geminiano,PI,5276,9390704.75
General Carneiro,MT,5215,14054948.27
General Carneiro,PR,14039,25066080.43
General Câmara,RS,8685,13940428.57
General Maynard,SE,3143,10443267.44
General Salgado,SP,10970,30173238.49
General Sampaio,CE,6591,18104378.71
Gentil,RS,1717,10937957.28
Gentio do Ouro,BA,11338,22896664.47
Getulina,SP,11209,22911033.89
Getúlio Vargas,RS,16647,32633738.89
Gilbués,PI,10504,20935937.84
Girau do Ponciano,AL,39657,57357216.46
Giruá,RS,17343,43433607.84
Glaucilândia,MG,3097,9742286.05
Glicério,SP,4745,16445151.41
Glorinha,RS,7364,24488760.77
Glória,BA,16003,36684811.56
Glória D'Oeste,MT,3072,11590610.79
Glória de Dourados,MS,10025,18831213.36
Glória do Goitá,PE,30000,36254771.19
Godofredo Viana,MA,11046,21358292.64
Godoy Moreira,PR,3315,10088852.72
Goiabeira,MG,3226,10667095.58
Goiana,PE,77945,143585107.87
Goiandira,GO,5491,14595969.34
Goianinha,RN,24476,61501485.28
Goianira,GO,37713,61189992.18
Goianorte,TO,5115,8979130.92
Goianá,MG,3849,9091326.1
Goianápolis,GO,11001,19268891.0
Goianésia,GO,63938,110465975.07
Goianésia do Pará,PA,36500,63020374.04
Goiatins,TO,12644,20411141.53
Goiatuba,GO,33759,100626942.92
Goioerê,PR,29743,51750617.18
Goioxim,PR,7590,15554337.46
Goiânia,GO,1393575,3363695421.63
Gongogi,BA,8325,14448537.36
Gonzaga,MG,6148,12959870.46
Gonçalves,MG,4370,10989630.56
Gonçalves Dias,MA,17572,1.0
Gouveia,MG,12030,16200874.05
Gouvelândia,GO,5334,16494429.11
Governador Archer,MA,10466,20762308.99
Governador Celso Ramos,SC,13655,30639119.27
Governador Dix-Sept Rosado,RN,12934,30513126.53
Governador Edison Lobão,MA,17094,24545536.07
Governador Eugênio Barros,MA,16312,27479974.79
Governador Jorge Teixeira,RO,10534,20068646.72
Governador Lindenberg,ES,11953,25029438.06
Governador Luiz Rocha,MA,7532,13138379.65
Governador Mangabeira,BA,21125,33757467.6
Governador Newton Bello,MA,10113,15638228.8
Governador Nunes Freire,MA,25262,49245310.88
Governador Valadares,MG,275568,567096042.96
Gracho Cardoso,SE,5824,12533235.08
Grajaú,MA,65078,103779942.23
Gramado,RS,34110,141967644.97
Gramado Xavier,RS,4168,10944895.13
Gramado dos Loureiros,RS,2295,8666672.83
Grandes Rios,PR,6515,13112980.79
Granito,PE,7191,17423404.45
Granja,CE,53435,73332885.11
Granjeiro,CE,4569,15456897.2
Gravatal,SC,11064,23310202.44
Gravataí,RS,269022,497303159.15
Gravatá,PE,80450,111994191.15
Graça,CE,15281,26364832.5
Graça Aranha,MA,6151,9416224.3
Groaíras,CE,10668,21284829.46
Grossos,RN,9998,23260541.51
Grupiara,MG,1414,11283214.38
Grão Mogol,MG,15667,33704985.59
Grão Pará,SC,6418,15787428.49
Guabiju,RS,1625,9158005.35
Guabiruba,SC,20474,37532314.61
Guadalupe,PI,10342,27011600.09
Guaimbê,SP,5654,15583255.55
Guairaçá,PR,6468,15411416.31
Guaiçara,SP,11385,26559650.41
Guaiúba,CE,25310,38401316.63
Guajará,AM,15291,21460072.56
Guajará-Mirim,RO,45761,58964846.51
Guajeru,BA,9388,15504320.17
Guamaré,RN,13922,136840212.2
Guamiranga,PR,8343,18499256.62
Guanambi,BA,84645,115656812.59
Guanhães,MG,33020,52691435.2
Guapiara,SP,18129,34281211.56
Guapiaçu,SP,19409,44417520.92
Guapimirim,RJ,54706,141596392.21
Guapirama,PR,3968,11968414.92
Guaporema,PR,2289,10589407.51
Guaporé,RS,24142,49900579.47
Guapé,MG,14349,29194573.8
Guapó,GO,14397,26764218.29
Guarabira,PB,57383,66618402.86
Guaraci,PR,5373,13594764.48
Guaraci,SP,10584,35943690.84
Guaraciaba,MG,10521,17324027.47
Guaraciaba,SC,10492,23397232.48
Guaraciaba do Norte,CE,38832,59617997.34
Guaraciama,MG,4919,11427942.86
Guaramiranga,CE,3909,14616333.15
Guaramirim,SC,38851,91770668.87
Guarani,MG,8977,17907008.63
Guarani d'Oeste,SP,2023,10448055.31
Guarani das Missões,RS,8227,19074391.02
Guarani de Goiás,GO,4267,10977473.88
Guaraniaçu,PR,14372,28090706.99
Guarantã,SP,6629,16523209.83
Guarantã do Norte,MT,33326,53227434.02
Guaranésia,MG,19298,31085856.72
Guarapari,ES,116278,214527971.94
Guarapuava,PR,175779,231787155.73
Guaraqueçaba,PR,8012,17916862.97
Guararapes,SP,32023,62874053.87
Guararema,SP,27679,171658338.46
Guarará,MG,3991,10972011.69
Guaratinga,BA,22583,38273885.98
Guaratinguetá,SP,117663,229693251.27
Guaratuba,PR,34338,77354148.29
Guaraçaí,SP,8586,21544146.6
Guaraí,TO,24629,31437474.08
Guaraíta,GO,2333,8526653.85
Guarda-Mor,MG,6741,19934788.21
Guareí,SP,16149,27596501.6
Guariba,SP,37747,80311752.22
Guaribas,PI,4464,11214761.97
Guarinos,GO,2221,9116493.3
Guarujá,SP,306683,1005479515.6
Guarujá do Sul,SC,5054,13333019.81
Guarulhos,SP,1299249,3382238255.25
Guará,SP,20733,51073741.46
Guatambú,SC,4746,14431647.94
Guatapará,SP,7341,24735946.52
Guaxupé,MG,51488,82170599.65
Guaçuí,ES,30144,62474056.66
Guaíba,RS,98688,170919375.3
Guaíra,PR,32190,61654653.71
Guaíra,SP,39314,121007595.12
Guia Lopes da Laguna,MS,10287,22811765.87
Guidoval,MG,7356,13504420.75
Guimarânia,MG,7693,17180040.38
Guimarães,MA,11939,17266798.27
Guiratinga,MT,14304,26945284.75
Guiricema,MG,8838,12990056.85
Gurinhatã,MG,6144,17712328.12
Gurinhém,PB,14098,20535312.44
Gurjão,PB,3311,8466258.42
Gurupi,TO,81792,150429818.16
Guzolândia,SP,5023,14082069.87
Gália,SP,7019,16368290.23
Harmonia,RS,4517,14414106.84
Heitoraí,GO,3704,10895170.02
Heliodora,MG,6416,11721413.19
Heliópolis,BA,13812,22904309.17
Herculândia,SP,9154,18173951.59
Herval,RS,6969,19691895.49
Herval d'Oeste,SC,21961,37004396.14
Herveiras,RS,3056,9220995.24
Hidrolina,GO,4006,9100023.27
Hidrolândia,CE,19882,30916545.01
Hidrolândia,GO,19015,39347080.89
Holambra,SP,12707,46445582.76
Honório Serpa,PR,5902,15674471.95
Horizonte,CE,60584,133076419.55
Horizontina,RS,19112,50120403.05
Hortolândia,SP,209139,578775325.5
Hugo Napoleão,PI,3809,9165429.2
Hulha Negra,RS,6386,14687867.22
Humaitá,AM,49137,75808560.58
Humaitá,RS,5030,15619340.15
Humberto de Campos,MA,27364,42225389.33
Iacanga,SP,10776,35649422.0
Iaciara,GO,13159,21054536.57
Iacri,SP,6530,17022048.12
Iapu,MG,10768,20071591.52
Iaras,SP,7431,19937976.97
Iati,PE,18913,42074117.14
Iaçu,BA,26591,46056210.03
Ibaiti,PR,30242,27394990.0
Ibarama,RS,4516,13973114.36
Ibaretama,CE,13155,20519184.76
Ibateguara,AL,15762,27461169.36
Ibatiba,ES,24575,40681078.18
Ibaté,SP,32810,65052800.41
Ibema,PR,6306,14369526.75
Ibertioga,MG,5163,12089760.16
Ibiam,SC,1973,8704222.18
Ibiapina,CE,24458,32460425.03
Ibiara,PB,6027,11538527.82
Ibiaçá,RS,4850,14412636.74
Ibiaí,MG,8215,13539052.84
Ibicaraí,BA,24595,35562843.56
Ibicaré,SC,3359,10547092.88
Ibicoara,BA,19071,37542565.9
Ibicuitinga,CE,11890,21590383.59
Ibicuí,BA,16582,26390026.03
Ibimirim,PE,28197,45229862.81
Ibipeba,BA,18398,30107146.06
Ibipitanga,BA,15162,25319442.64
Ibiporã,PR,51255,103562669.52
Ibiquera,BA,5158,10024175.5
Ibiracatu,MG,6250,11645361.14
Ibiraci,MG,13006,26555490.1
Ibiraiaras,RS,7422,16213717.82
Ibirajuba,PE,7714,17357826.45
Ibirama,SC,18097,40769299.17
Ibirapitanga,BA,24059,44945090.94
Ibirapuitã,RS,4170,13275821.52
Ibirapuã,BA,8603,20239883.14
Ibirarema,SP,7203,20118656.64
Ibirataia,BA,18546,35005897.18
Ibiraçu,ES,12124,29249871.98
Ibirité,MG,169908,225549775.68
Ibirubá,RS,20116,42644711.66
Ibirá,SP,11615,29125934.0
Ibitiara,BA,16647,82490639.9
Ibitinga,SP,56531,95092145.59
Ibitirama,ES,9400,25881222.95
Ibititá,BA,18752,29822862.13
Ibitiúra de Minas,MG,3503,8634256.88
Ibituruna,MG,2979,8597295.37
Ibiá,MG,24435,49591390.0
Ibiúna,SP,75241,121656533.38
Ibotirama,BA,27285,44601895.3
Icapuí,CE,19129,43998375.08
Icaraí de Minas,MG,11411,14394258.71
Icaraíma,PR,8809,17660517.01
Icatu,MA,26014,32914714.06
Ichu,BA,6265,12848605.17
Iconha,ES,13548,34808096.4
Icém,SP,7877,36236415.9
Icó,CE,66885,99151059.46
Ielmo Marinho,RN,13070,36502736.12
Iepê,SP,7966,25618250.9
Igaci,AL,26051,41883393.35
Igaporã,BA,16159,26160622.81
Igaracy,PB,6210,12392339.88
Igarapava,SP,29365,67969615.66
Igarapé,MG,38285,61924340.91
Igarapé Grande,MA,11431,17217672.04
Igarapé do Meio,MA,13347,25071285.47
Igarapé-Açu,PA,36883,41462063.15
Igarapé-Miri,PA,59644,87568875.48
Igarassu,PE,109322,135591247.28
Igaratinga,MG,9997,19332438.27
Igaratá,SP,9251,29115294.68
Igaraçu do Tietê,SP,24299,37151018.73
Igrapiúna,BA,13636,26616759.73
Igreja Nova,AL,24328,40338699.88
Igrejinha,RS,33711,70505926.99
Iguaba Grande,RJ,24788,72007098.45
Iguape,SP,30124,68251114.24
Iguaracy,PE,12097,19431215.41
Iguaraçu,PR,4205,14816684.09
Iguatama,MG,8213,19025833.45
Iguatemi,MS,15429,35512188.88
Iguatu,CE,100053,159708477.87
Iguatu,PR,2299,9495107.7
Iguaí,BA,27615,38337009.94
Ijaci,MG,6225,21055515.06
Ijuí,RS,82276,213074698.78
Ilha Comprida,SP,9908,78855947.08
Ilha Grande,PI,9136,12670878.39
Ilha Solteira,SP,26138,101906878.82
Ilha das Flores,SE,8582,15862257.41
Ilha de Itamaracá,PE,23923,43055522.01
Ilhabela,SP,30983,156747836.37
Ilhota,SC,13124,27657990.67
Ilhéus,BA,184616,247773987.01
