Município,UF,População,Total Despesa
Abadia de Goiás,GO,7733,23113629.19
Abadia dos Dourados,MG,6992,16744249.74
Abadiânia,GO,17701,31392891.17
Abaetetuba,PA,148873,210586639.67
Abaeté,MG,23494,38562387.95
Abaiara,CE,11226,22713051.44
Abaré,BA,19290,34294224.07
Abatiá,PR,7852,14028439.59
Abaíra,BA,9243,18463613.49
Abel Figueiredo,PA,7070,18884638.9
Abelardo Luz,SC,17651,54694331.15
Abreu e Lima,PE,98201,126131517.45
Abreulândia,TO,2523,8980508.94
Acaiaca,MG,4050,13646205.99
Acajutiba,BA,15668,23660340.23
Acarape,CE,16153,25421664.35
Acaraú,CE,60684,111505508.74
Acari,RN,11349,19146461.93
Acará,PA,54047,99591584.27
Acauã,PI,6913,12850891.98
Aceguá,RS,4671,22098939.7
Acopiara,CE,52903,82785028.95
Acorizal,MT,5396,10266726.29
Acrelândia,AC,13613,22670512.06
Acreúna,GO,21549,52640635.2
Adamantina,SP,35001,107526432.8
Adelândia,GO,2554,10164800.05
Adolfo,SP,3631,20468440.31
Adrianópolis,PR,6374,19191505.02
Adustina,BA,17044,25475839.4
Afogados da Ingazeira,PE,36547,70793348.2
Afonso Bezerra,RN,11197,19637770.72
Afonso Cláudio,ES,32502,76085756.48
Afonso Cunha,MA,6277,18796731.75
Afrânio,PE,18831,44534209.5
Agrestina,PE,24052,61913839.92
Agricolândia,PI,5087,10551215.31
Agrolândia,SC,10115,22361745.48
Aguanil,MG,4332,13196317.12
Aguaí,SP,34530,68422833.58
Agudo,RS,17140,40561201.37
Agudos,SP,36339,109209102.84
Agudos do Sul,PR,8892,17502157.07
Aguiar,PB,5580,15022723.97
Aguiarnópolis,TO,5987,13761112.74
Aimorés,MG,25685,29514342.3
Aiquara,BA,4790,13840934.65
Aiuaba,CE,16893,27995552.17
Aiuruoca,MG,6257,12657261.21
Ajuricaba,RS,7403,18107572.8
Alagoa,MG,2764,11409326.61
Alagoa Grande,PB,28689,42508915.59
Alagoa Nova,PB,20399,35383491.89
Alagoinha,PB,14188,25168098.88
Alagoinha,PE,14250,30230346.29
Alagoinha do Piauí,PI,7485,12862422.7
Alagoinhas,BA,153560,262150414.0
Alambari,SP,5460,18693011.31
Albertina,MG,3025,9321941.53
Alcantil,PB,5425,13738883.78
Alcinópolis,MS,4961,30889155.55
Alcobaça,BA,23231,52578258.04
Alcântara,MA,21652,45739021.96
Alcântaras,CE,11247,25455287.52
Aldeias Altas,MA,25509,47322522.48
Alecrim,RS,6935,15788560.38
Alegre,ES,32236,71930136.64
Alegrete,RS,78768,152043977.74
Alegrete do Piauí,PI,5215,11356262.15
Alegria,RS,4188,15041689.37
Alenquer,PA,54353,90286050.52
Alexandria,RN,13864,33671761.64
Alexânia,GO,25805,55935690.62
Alfenas,MG,78176,181563913.48
Alfredo Chaves,ES,14916,43009956.52
Alfredo Marcondes,SP,4083,12359505.49
Alfredo Vasconcelos,MG,6566,13966433.02
Alfredo Wagner,SC,9794,19724276.35
Algodão de Jandaíra,PB,2461,10980070.36
Alhandra,PB,19057,65129214.28
Aliança,PE,38248,76700845.03
Aliança do Tocantins,TO,5645,11323458.6
Almadina,BA,6234,13992876.77
Almas,TO,7480,12709073.65
Almeirim,PA,33466,77306130.9
Almenara,MG,41028,58185345.85
Almino Afonso,RN,4922,12296445.92
Almirante Tamandaré,PR,111586,129222875.96
Almirante Tamandaré do Sul,RS,2098,11404432.87
Aloândia,GO,2084,9777911.62
Alpercata,MG,7458,16394209.17
Alpestre,RS,7752,29594142.72
Alpinópolis,MG,19513,38158689.8
Alta Floresta,MT,49877,93248394.67
Alta Floresta D'Oeste,RO,25652,47577432.54
Altair,SP,4035,16572167.86
Altamira,PA,106768,266029244.23
Altamira do Maranhão,MA,11699,21314304.07
Altamira do Paraná,PR,3544,14930659.6
Altaneira,CE,7271,17118751.61
Alterosa,MG,14371,26043506.85
Altinho,PE,22865,38267658.71
Altinópolis,SP,16159,58304749.53
Alto Alegre,RR,16301,37796964.37
Alto Alegre,RS,1841,10327060.73
Alto Alegre,SP,4183,17842538.63
Alto Alegre do Maranhão,MA,26056,42481700.94
Alto Alegre do Pindaré,MA,31271,49086567.7
Alto Alegre dos Parecis,RO,13884,31436334.46
Alto Araguaia,MT,17168,68551390.41
Alto Bela Vista,SC,1997,14136020.68
Alto Boa Vista,MT,5980,15069821.09
Alto Caparaó,MG,5655,13176867.88
Alto Feliz,RS,3017,13534753.14
Alto Garças,MT,11071,25493253.08
Alto Horizonte,GO,5307,68796781.0
Alto Jequitibá,MG,8532,15283112.76
Alto Longá,PI,13967,22435176.27
Alto Paraguai,MT,10592,16629692.29
Alto Paraíso,PR,3116,18137225.6
Alto Paraíso,RO,19841,32757653.71
Alto Paraíso de Goiás,GO,7328,25482432.14
Alto Parnaíba,MA,10931,24015145.32
Alto Piquiri,PR,10317,20950358.85
Alto Rio Novo,ES,7888,19587144.41
Alto Santo,CE,16823,31644132.08
Alto Taquari,MT,9376,36410804.41
Alto do Rodrigues,RN,13680,71529013.93
Altos,PI,39625,59340526.64
Altônia,PR,21619,45151420.52
Alvarenga,MG,4343,11978517.83
Alvarães,AM,15357,27435882.29
Alvinlândia,SP,3153,12219495.73
Alvinópolis,MG,15630,25004385.48
Alvorada,RS,205683,243263867.78
Alvorada,TO,8546,14430055.41
Alvorada D'Oeste,RO,17228,32744393.0
Alvorada de Minas,MG,3661,33240966.17
Alvorada do Gurguéia,PI,5249,16458102.58
Alvorada do Norte,GO,8499,21085978.22
Alvorada do Sul,PR,10965,26602211.83
Além Paraíba,MG,35641,63837244.72
Amajari,RR,10721,8347740.29
Amambai,MS,37144,87614062.73
Amaporã,PR,5885,14256191.23
Amapá,AP,8553,15152091.84
Amapá do Maranhão,MA,6731,14536385.55
Amaraji,PE,22600,43096039.07
Amaral Ferrador,RS,6737,15118011.84
Amaralina,GO,3658,12886290.27
Amarante,PI,17305,26465231.77
Amarante do Maranhão,MA,39974,63290519.42
Amargosa,BA,37557,53977391.9
Amaturá,AM,10644,20811007.74
Americana,SP,226970,779793021.93
Ametista do Sul,RS,7565,17448740.84
Amontada,CE,41672,79662781.67
Amorinópolis,GO,3528,11591990.71
Amparo,PB,2195,9661264.69
Amparo,SP,69808,211436340.67
Amparo de São Francisco,SE,2366,10947715.27
Amparo do Serra,MG,4997,11831082.05
Amélia Rodrigues,BA,26458,39831494.14
América Dourada,BA,16904,33313119.81
Américo Brasiliense,SP,37691,80453619.23
Américo de Campos,SP,5930,20077281.17
Anadia,AL,17972,32716325.0
Anagé,BA,20388,37796403.68
Anajatuba,MA,26618,43253304.2
Anajás,PA,27051,53062488.53
Analândia,SP,4672,24416710.46
Anamã,AM,11981,19080573.65
Ananindeua,PA,499776,551897630.13
Ananás,TO,9900,14795725.6
Anapu,PA,24525,49154463.99
Anastácio,MS,24642,45032343.38
Anaurilândia,MS,8801,25117966.91
Anchieta,ES,27145,339268240.2
Anchieta,SC,6066,18065540.41
Andaraí,BA,13716,30960780.36
Andirá,PR,20931,47932749.87
Andorinha,BA,14862,32047543.69
Andradas,MG,39761,70954135.17
Andradina,SP,57198,156561928.82
Andrelândia,MG,12507,23214352.31
André da Rocha,RS,1286,9581703.08
Angatuba,SP,23917,68575396.9
Angelina,SC,5109,16004643.91
Angelândia,MG,8416,18812447.59
Angical,BA,14742,27761896.89
Angical do Piauí,PI,6697,13217526.61
Angico,TO,3355,10595887.51
Angicos,RN,11906,19845299.1
Anguera,BA,11209,20480420.9
Angélica,MS,9991,27706995.41
Anhembi,SP,6215,29080973.98
Anhumas,SP,3970,16043902.38
Anicuns,GO,21338,52549774.14
Anita Garibaldi,SC,8055,21341318.63
Anitápolis,SC,3256,13331693.06
Anori,AM,18826,29915599.01
Anta Gorda,RS,6228,16752649.72
Antas,BA,18970,25770148.02
Antonina,PR,19414,42356543.78
Antonina do Norte,CE,7200,19262078.0
Antônio Almeida,PI,3097,10783283.44
Antônio Cardoso,BA,12216,22742580.8
Antônio Dias,MG,9711,22413253.67
Antônio Gonçalves,BA,12083,20992721.08
Antônio Martins,RN,7188,15372715.83
Antônio Olinto,PR,7573,15912561.36
Antônio Prado,RS,13274,32698857.37
Antônio Prado de Minas,MG,1685,9263526.51
Anápolis,GO,361991,829478678.66
Anísio de Abreu,PI,9531,15296514.7
Aparecida,PB,8174,14376889.74
Aparecida,SP,36184,106400515.99
Aparecida d'Oeste,SP,4432,18508929.11
Aparecida de Goiânia,GO,511323,746512323.15
Aparecida do Rio Doce,GO,2505,13914055.15
Aparecida do Rio Negro,TO,4561,10678928.8
Aparecida do Taboado,MS,24078,72156485.5
Apiacá,ES,7920,21246167.01
Apiacás,MT,9249,23041995.22
Apiaí,SP,25349,59294225.03
Apicum-Açu,MA,17712,39069620.28
