Município,UF,População,Total Despesa
Apiúna,SC,10211,30278415.16
Apodi,RN,36120,52627272.87
Aporá,BA,19063,30460301.37
Aporé,GO,4043,24444035.52
Apuarema,BA,7780,16330414.14
Apucarana,PR,129265,229743724.14
Apuiarés,CE,14483,28020785.99
Apuí,AM,20258,34230475.56
Aquidabã,SE,21170,32342548.43
Aquidauana,MS,46998,115673517.8
Aquiraz,CE,76967,168376563.61
Arabutã,SC,4273,20176282.94
Aracaju,SE,623766,1557709488.25
Aracati,CE,72248,135738190.0
Araci,BA,56023,94333104.02
Aracitaba,MG,2112,8377051.71
Aracoiaba,CE,26062,57028689.89
Aragarças,GO,19426,31403841.57
Aragoiânia,GO,9278,17515817.9
Aragominas,TO,5933,11293188.82
Araguacema,TO,6791,13761427.37
Araguaiana,MT,3108,11391750.67
Araguainha,MT,1000,6787373.29
Araguanã,MA,14843,24142622.61
Araguanã,TO,5448,13600978.28
Araguapaz,GO,7795,16455860.24
Araguari,MG,115632,231043103.65
Araguatins,TO,33963,45143546.08
Araguaçu,TO,8822,17644165.81
Araioses,MA,44800,60260797.27
Aral Moreira,MS,11209,34776589.13
Aramari,BA,11237,19581626.45
Arambaré,RS,3769,15531078.99
Arame,MA,31944,54318316.74
Aramina,SP,5451,20797005.64
Arandu,SP,6343,23491365.1
Arantina,MG,2884,10774524.26
Arapeí,SP,2532,11290953.48
Arapiraca,AL,229329,460252576.23
Arapoema,TO,6821,11237153.76
Araponga,MG,8478,15939953.32
Arapongas,PR,113833,183826922.94
Araporã,MG,6593,45418354.56
Arapoti,PR,27362,58603825.31
Araputanga,MT,15926,33037876.38
Arapuá,MG,2870,10150305.53
Arapuã,PR,3469,12697514.12
Araquari,SC,31030,74664383.36
Arara,PB,13258,21719014.08
Araranguá,SC,65090,117878735.38
Araraquara,SP,224304,672267557.08
Araras,SP,127661,390581544.79
Ararendá,CE,10750,23054299.17
Arari,MA,29096,45099877.24
Araricá,RS,5249,17594830.41
Araripe,CE,21230,48220970.95
Araripina,PE,82298,129709236.5
Araruama,RJ,120948,265813398.67
Araruna,PB,19855,34047481.56
Araruna,PR,13971,29614135.46
Arataca,BA,11779,24123088.48
Aratiba,RS,6663,38463659.55
Aratuba,CE,11419,24405942.04
Aratuípe,BA,9104,15739428.15
Araucária,PR,131356,667344218.1
Arauá,SE,10684,23075064.97
Araxá,MG,101136,240736838.68
Araçagi,PB,17186,27700470.26
Araçariguama,SP,19636,80159236.59
Araças,BA,12402,39949155.35
Araçatuba,SP,191662,442225623.82
Araçaí,MG,2344,11536479.78
Araçoiaba,PE,19579,35020710.74
Araçoiaba da Serra,SP,30713,73804047.21
Araçu,GO,3800,11397330.06
Araçuaí,MG,37220,52189335.36
Araújos,MG,8645,17050050.48
Arceburgo,MG,10262,21874457.72
Arco-Íris,SP,1907,11808448.1
Arcos,MG,38946,83708685.05
Arcoverde,PE,72672,124100598.57
Areado,MG,14624,23617613.82
Areal,RJ,11879,44164023.44
Arealva,SP,8299,25231223.88
Areia,PB,23288,32680301.06
Areia Branca,RN,27115,71261748.68
Areia Branca,SE,17996,32891162.84
Areia de Baraúnas,PB,1894,9269287.77
Areial,PB,6860,14384316.34
Areias,SP,3849,14249996.56
Areiópolis,SP,11020,27158583.08
Argirita,MG,2907,10066268.39
Aricanduva,MG,5078,12441878.15
Arinos,MG,18210,35281041.68
Aripuanã,MT,20293,47424407.26
Ariranha,SP,9187,36111660.54
Ariranha do Ivaí,PR,2389,14449980.25
Armazém,SC,8251,17364538.19
Armação dos Búzios,RJ,30439,230102750.52
Arneiroz,CE,7768,17603684.84
Aroazes,PI,5773,13217857.94
Aroeiras,PB,19231,36299850.29
Arraial,PI,4678,9566033.01
Arraial do Cabo,RJ,28866,136674995.04
Arraias,TO,10805,17526901.45
Arroio Grande,RS,18964,44568177.86
Arroio Trinta,SC,3563,15117707.9
Arroio do Meio,RS,19923,49494259.01
Arroio do Padre,RS,2871,10949909.26
Arroio do Sal,RS,8641,35639081.34
Arroio do Tigre,RS,13277,27114004.76
Arroio dos Ratos,RS,14166,31558879.74
Artur Nogueira,SP,49346,110482033.52
Aruanã,GO,8542,25704181.86
Arujá,SP,82651,216825053.03
Arvoredo,SC,2276,13844193.02
Arês,RN,13905,36029931.58
Ascurra,SC,7732,17892785.6
Aspásia,SP,1851,11135487.27
Assaré,CE,23058,41670078.86
Assaí,PR,16322,38239502.47
Assis,SP,100911,226418628.63
Assis Brasil,AC,6610,14196256.49
Assis Chateaubriand,PR,34008,71055964.49
Assunção,PB,3782,10935113.19
Assunção do Piauí,PI,7667,15849871.62
Astolfo Dutra,MG,13840,23835240.62
Astorga,PR,25862,54463032.59
Atalaia,AL,47052,76382278.14
Atalaia,PR,4007,11724528.32
Atalaia do Norte,AM,17658,35518936.21
Ataléia,MG,14188,19819221.51
Atibaia,SP,135895,374743549.05
Atilio Vivacqua,ES,11023,32076987.73
Augustinópolis,TO,17386,23379536.43
Augusto Corrêa,PA,43154,73303597.04
Augusto de Lima,MG,5051,14985086.83
Aurelino Leal,BA,13301,26579787.01
Auriflama,SP,14897,35194616.07
Aurilândia,GO,3553,11627474.56
Aurora,CE,24658,40316472.37
Aurora,SC,5668,18590145.37
Aurora do Pará,PA,28974,44260689.88
Aurora do Tocantins,TO,3654,8063515.25
Autazes,AM,36301,53321092.89
Avanhandava,SP,12516,28295048.42
Avaré,SP,87820,227026420.27
Avaí,SP,5243,19983189.13
Aveiro,PA,15956,40305358.83
Avelino Lopes,PI,11390,16581335.68
Avelinópolis,GO,2501,10861201.03
Axixá,MA,11780,23548935.8
Axixá do Tocantins,TO,9669,25219235.51
Açailândia,MA,108765,233294691.25
Açu,RN,56829,84120564.21
Açucena,MG,10216,19651055.73
Babaçulândia,TO,10728,18977868.34
Bacabal,MA,102265,169930589.81
Bacabeira,MA,16276,57673667.19
Bacuri,MA,17280,38838034.64
Bacurituba,MA,5477,15099374.13
Bady Bassitt,SP,16109,41356730.37
Baependi,MG,19117,34978745.13
Bagé,RS,121500,252492489.25
Baianópolis,BA,14126,29055501.0
Baixa Grande,BA,21186,34873095.27
Baixa Grande do Ribeiro,PI,11123,34298528.54
Baixio,CE,6182,16429950.69
Baixo Guandu,ES,31298,75452027.81
Baião,PA,42513,70592978.09
Balbinos,SP,4629,14180419.29
Baldim,MG,8082,16100777.52
Baliza,GO,4321,11911796.24
Balneário Arroio do Silva,SC,11248,27571136.85
Balneário Barra do Sul,SC,9580,28297534.97
Balneário Camboriú,SC,124557,534110168.59
Balneário Gaivota,SC,9551,27260070.81
Balneário Rincão,SC,11824,28188362.73
Balsa Nova,PR,12200,41358561.74
Balsas,MA,90679,178674477.24
Bambuí,MG,23759,44818372.43
Banabuiú,CE,17842,35425543.22
Bananal,SP,10728,28474073.84
Bananeiras,PB,21276,37555001.36
Bandeira,MG,5039,14185118.38
Bandeira do Sul,MG,5639,12397675.09
Bandeirante,SC,2836,11449412.6
Bandeirantes,MS,6759,26158384.33
Bandeirantes,PR,32718,48651942.66
Bandeirantes do Tocantins,TO,3379,11687266.23
Bannach,PA,3303,15767598.54
Banzaê,BA,12560,22684644.8
Baraúna,PB,4669,11585275.85
Barbacena,MG,133972,291013058.25
Barbalha,CE,58347,152544786.0
Barbosa,SP,7064,18192106.57
Barbosa Ferraz,PR,12583,24808465.7
Barcarena,PA,112921,258719020.94
Barcelos,AM,27273,40321749.04
Bariri,SP,33761,76735312.5
Barra,BA,53786,90631970.34
Barra Bonita,SC,1815,
Barra Bonita,SP,36315,90889629.38
Barra D'Alcântara,PI,3886,9749512.75
Barra Funda,RS,2487,12297157.28
Barra Mansa,RJ,179697,410421651.96
Barra Velha,SC,25662,66147139.67
Barra da Estiva,BA,22566,36585875.91
Barra de Guabiraba,PE,13808,26732672.7
Barra de Santa Rosa,PB,14999,26948230.03
Barra de Santana,PB,8300,15197774.99
Barra de Santo Antônio,AL,15565,32167434.74
Barra de São Francisco,ES,44244,101892262.24
Barra de São Miguel,AL,8191,26634906.39
Barra de São Miguel,PB,5865,13026734.49
Barra do Bugres,MT,33365,68283699.16
Barra do Chapéu,SP,5550,16879972.82
Barra do Choça,BA,35200,66972442.49
Barra do Corda,MA,85603,126525101.39
Barra do Guarita,RS,3226,11166881.86
Barra do Jacaré,PR,2817,12282126.57
Barra do Mendes,BA,14540,28030804.04
Barra do Ouro,TO,4416,10778570.14
Barra do Piraí,RJ,96568,
Barra do Quaraí,RS,4189,17060909.43
Barra do Ribeiro,RS,13208,25712527.39
Barra do Rio Azul,RS,1972,12032687.53
Barra do Rocha,BA,6518,15105524.23
Barra do Turvo,SP,7853,31465428.89
Barra dos Coqueiros,SE,28093,71051367.89
Barracão,PR,10187,22748501.22
Barracão,RS,5491,17520985.52
Barras,PI,45938,70059057.29
Barreira,CE,20532,36533609.54
Barreiras,BA,152208,300093770.64
Barreiras do Piauí,PI,3283,9281723.74
Barreirinha,AM,30202,63325030.71
Barreirinhas,MA,59623,102836073.6
Barreiros,PE,42105,77747170.7
Barretos,SP,118521,407671945.28
Barrinha,SP,30873,65561898.1
Barro,CE,22193,37250582.69
Barro Alto,BA,15230,28289281.88
Barro Alto,GO,9820,44631952.54
Barro Duro,PI,6941,12103311.74
Barro Preto,BA,6627,16411258.45
Barrocas,BA,15624,34979052.91
Barrolândia,TO,5579,11222532.2
Barroquinha,CE,14800,30706512.84
Barros Cassal,RS,11480,26716712.03
Barroso,MG,20590,43218413.56
Barueri,SP,259555,1951412819.34
Barão,RS,6035,20804018.4
Barão de Antonina,SP,3326,11985120.4
Barão de Cocais,MG,30893,89671203.0
Barão de Cotegipe,RS,6749,19127176.81
Barão de Grajaú,MA,18223,36279941.05
Barão de Melgaço,MT,7545,12880987.44
Barão de Monte Alto,MG,5738,13629085.26
Barão do Triunfo,RS,7360,16429838.61
Bastos,SP,21064,45930321.5
Bataguassu,MS,21463,55702992.32
Batalha,AL,18353,36331323.47
Batalha,PI,26277,38830432.85
Batatais,SP,60128,131539178.64
Batayporã,MS,11188,32647741.87
Bauru,SP,364562,927963329.91
Bayeux,PB,95677,134418445.52
Baía Formosa,RN,9116,20737805.66
Baía da Traição,PB,8696,18099523.94
Bebedouro,SP,77558,206301109.72
Beberibe,CE,51885,89885320.98
Bela Cruz,CE,31956,51049172.33
Bela Vista,MS,24002,55429055.48
Bela Vista da Caroba,PR,3887,12991950.46
Bela Vista de Goiás,GO,27112,56488642.73
Bela Vista de Minas,MG,10362,25365167.38
Bela Vista do Maranhão,MA,10836,35551294.98
Bela Vista do Paraíso,PR,15589,26053465.96
Bela Vista do Piauí,PI,3902,9467532.78
Bela Vista do Toldo,SC,6219,18388431.62
Belford Roxo,RJ,479386,601436964.74
Belmiro Braga,MG,3500,12735007.35
Belmonte,SC,2696,13206688.83
Belo Campo,BA,18459,35901078.6
Belo Horizonte,MG,2491109,9159144742.86
Belo Jardim,PE,75186,127992525.96
Belo Monte,AL,6763,18883857.8
Belo Vale,MG,7803,35205562.83
Belterra,PA,16924,33995058.49
Belágua,MA,7191,20252977.99
Belém,PA,1432844,2588663722.0
Belém,PB,17545,28006478.45
Belém de Maria,PE,11833,25373040.03
Belém do Brejo do Cruz,PB,7306,21023871.08
Belém do Piauí,PI,3440,10293693.7
Belém do São Francisco,PE,20678,41533039.14
Beneditinos,PI,10021,18498479.03
Benedito Novo,SC,11037,20445225.25
Benevides,PA,57393,98866939.24
Benjamin Constant,AM,38533,67189601.09
Benjamin Constant do Sul,RS,2284,12935177.06
Bento Fernandes,RN,5422,13547996.65
Bento Gonçalves,RS,112318,333089120.86
Bento de Abreu,SP,2855,15712960.19
Bequimão,MA,20837,37141823.94
Berilo,MG,12469,20370379.51
Berizal,MG,4630,12729889.71
Bernardino Batista,PB,3312,13951905.04
Bernardino de Campos,SP,11146,25953536.43
Bernardo Sayão,TO,4540,11521810.95
Bernardo do Mearim,MA,5860,18324197.6
Bertioga,SP,55138,315981536.15
Beruri,AM,17755,41768581.02
Betim,MG,412003,1373748463.72
Betânia,PE,12487,26305950.07
Betânia do Piauí,PI,6092,12260662.33
Bezerros,PE,60301,96917665.29
Bias Fortes,MG,3724,11249772.22
Bicas,MG,14342,25375468.27
Biguaçu,SC,63440,124375330.26
Bilac,SP,7602,25014228.29
Biquinhas,MG,2652,10679509.26
Birigui,SP,117143,268640856.31
Biritinga,BA,15769,30078646.75
Blumenau,SC,334002,1088548422.16
Boa Esperança,ES,15244,43474815.96
Boa Esperança,MG,40155,75486036.69
Boa Esperança,PR,4518,16686939.97
Boa Esperança do Iguaçu,PR,2739,13973554.71
Boa Esperança do Sul,SP,14452,41873830.8
Boa Hora,PI,6560,14275611.09
Boa Saúde,RN,9767,18377212.72
Boa Ventura de São Roque,PR,6692,19512100.82
Boa Viagem,CE,53725,86752974.16
Boa Vista,RR,314900,891077346.91
Boa Vista da Aparecida,PR,7998,23393428.85
Boa Vista das Missões,RS,2171,12757421.7
Boa Vista do Buricá,RS,6808,22808069.22
Boa Vista do Cadeado,RS,2522,16297406.37
Boa Vista do Gurupi,MA,8816,14259977.34
Boa Vista do Incra,RS,2549,13995929.59
Boa Vista do Ramos,AM,17248,26983785.44
Boa Vista do Sul,RS,2859,14630768.29
Boa Vista do Tupim,BA,18677,35532729.51
Boca da Mata,AL,27185,61447013.42
Boca do Acre,AM,33148,51548296.66
Bocaina,PI,4431,10533217.87
Bocaina,SP,11691,34661535.81
Bocaina de Minas,MG,5169,11360910.27
Bocaiúva,MG,49293,81937807.78
Bocaiúva do Sul,PR,11996,24785385.37
Bodocó,PE,37054,65297575.48
Bodó,RN,2385,13451969.7
Bofete,SP,10694,30777022.33
Boituva,SP,54594,305029778.42
Bom Conselho,PE,47520,83796469.22
Bom Despacho,MG,48802,79025895.16
Bom Jardim,MA,40405,64008480.61
Bom Jardim,PE,38871,62861270.03
Bom Jardim,RJ,26126,80160208.95
Bom Jardim da Serra,SC,4598,14811056.55
Bom Jardim de Goiás,GO,8790,18540973.68
Bom Jardim de Minas,MG,6658,14931169.71
Bom Jesus,PB,2514,11099419.54
Bom Jesus,PI,24092,47286060.18
Bom Jesus,RS,11809,31818692.22
Bom Jesus da Penha,MG,4121,14110277.66
Bom Jesus da Serra,BA,10597,20757865.15
Bom Jesus das Selvas,MA,32133,
Bom Jesus de Goiás,GO,22872,49682661.45
Bom Jesus do Amparo,MG,5871,13209640.83
Bom Jesus do Araguaia,MT,5889,18007728.25
Bom Jesus do Galho,MG,15587,21099032.07
Bom Jesus do Itabapoana,RJ,35896,90625543.48
Bom Jesus do Norte,ES,10136,25714440.06
Bom Jesus do Oeste,SC,2158,11945857.56
Bom Jesus do Sul,PR,3800,13817999.21
Bom Jesus do Tocantins,PA,16074,29073032.11
Bom Jesus do Tocantins,TO,4361,8653685.14
Bom Jesus dos Perdões,SP,22508,70578009.09
Bom Lugar,MA,15655,27470759.68
Bom Princípio,RS,12792,38355727.84
Bom Princípio do Piauí,PI,5474,13365706.24
Bom Progresso,RS,2285,10342645.27
Bom Repouso,MG,10763,19091211.11
Bom Retiro,SC,9498,20058481.37
Bom Retiro do Sul,RS,12058,27971362.81
Bom Sucesso,MG,17832,34439780.66
Bom Sucesso,PB,5025,11272795.33
Bom Sucesso,PR,6906,19810296.21
Bom Sucesso de Itararé,SP,3802,13233757.73
Bom Sucesso do Sul,PR,3368,13473714.55
Bombinhas,SC,16897,80464977.56
Bonfim,MG,7014,13050993.03
Bonfim,RR,11632,24824181.02
Bonfim do Piauí,PI,5531,10978545.09
Bonfinópolis,GO,8508,15433277.85
Bonfinópolis de Minas,MG,5867,21061392.77
Boninal,BA,14490,23979117.64
Bonito,MS,20825,65739553.51
Bonito,PE,38122,69567824.55
Bonito de Minas,MG,10535,21142308.91
Bonito de Santa Fé,PB,11549,21351811.95
Bonópolis,GO,3916,12770193.18
Boqueirão,PB,17530,33769088.43
Boqueirão do Leão,RS,7911,16740372.79
Boqueirão do Piauí,PI,6359,12716417.79
Boquim,SE,26640,42213969.29
Boquira,BA,22409,40704503.08
Boracéia,SP,4586,25277567.98
Borba,AM,38688,79528941.79
Borborema,PB,5332,12007991.22
Borborema,SP,15454,41456401.3
Borda da Mata,MG,18481,30372953.08
Borebi,SP,2489,15295828.24
Borrazópolis,PR,7608,16847085.17
Borá,SP,835,10034906.33
Bossoroca,RS,6912,22070321.0
Botelhos,MG,15325,24314404.36
Botucatu,SP,137899,304575991.61
Botumirim,MG,6593,14217676.84
Botuporã,BA,11089,28030667.18
Botuverá,SC,4864,19005097.22
Bozano,RS,2243,9207833.17
Braga,RS,3711,12062202.67
Braganey,PR,5770,16507912.35
Bragança,PA,120124,121638576.44
Bragança Paulista,SP,158856,380858221.1
Branquinha,AL,10783,26426356.38
Brasil Novo,PA,15139,40198331.42
Brasileira,PI,8139,13786751.29
Brasilândia,MS,11923,52113314.12
Brasilândia de Minas,MG,15522,26356645.21
Brasilândia do Sul,PR,3086,17138654.57
Brasilândia do Tocantins,TO,2166,9417777.01
Brasiléia,AC,23378,37104624.43
Brasnorte,MT,17361,45749501.2
Brasília de Minas,MG,32473,60446901.21
Brazabrantes,GO,3485,11604727.25
Braço do Norte,SC,31319,65299563.64
Braço do Trombudo,SC,3627,15824502.9
Braúna,SP,5400,16316326.5
Braúnas,MG,5068,13353506.45
Brejetuba,ES,12712,34922277.1
Brejinho,PE,7464,20180053.32
Brejinho,RN,12399,21707737.6
Brejinho de Nazaré,TO,5426,11868633.84
Brejo,MA,35124,54531916.92
Brejo Alegre,SP,2746,16133208.15
Brejo Grande,SE,8165,17134564.03
Brejo Grande do Araguaia,PA,7258,19560272.69
Brejo Santo,CE,47645,144557144.21
Brejo da Madre de Deus,PE,48541,73801918.64
Brejo de Areia,MA,4291,20855526.88
Brejo do Piauí,PI,3714,12390015.19
Brejo dos Santos,PB,6389,13256170.34
Brejolândia,BA,10624,19064105.75
Brejão,PE,8997,26545278.15
Brejões,BA,15265,31779024.03
Breu Branco,PA,59651,97138362.8
Britânia,GO,5748,16565725.03
Brochier,RS,4928,15827107.57
Brodowski,SP,23134,61307886.98
Brotas,SP,23192,77812633.56
Brotas de Macaúbas,BA,11158,25519383.51
Brumadinho,MG,37314,202513744.0
Brumado,BA,69022,124960100.07
Brunópolis,SC,2690,12715657.46
Brusque,SC,119719,288264424.77
Bueno Brandão,MG,11217,19179589.66
Buenos Aires,PE,12974,24294379.47
Buenópolis,MG,10586,19434738.92
Buerarema,BA,19297,29514078.1
Bugre,MG,4128,13412939.74
Bujari,AC,9173,18088711.39
Bujaru,PA,27349,40536368.16
Buritama,SP,16449,51412362.3
Buriti,MA,27864,49149612.22
Buriti Alegre,GO,9431,27918530.17
Buriti do Tocantins,TO,10681,7650432.72
Buriti dos Lopes,PI,19386,34548185.61
Buriti dos Montes,PI,8165,14659026.07
Buriticupu,MA,69548,116040987.86
Buritinópolis,GO,3396,11849651.7
Buritirama,BA,21418,37751174.18
Buritirana,MA,15055,24622630.99
Buritis,MG,24169,60587393.2
