UF,Municipio,Regiao,2016,2017,2018,2019,2020,2013,2014,2015,2016,2017
AC,Acrelândia,Norte,239.610,229.644,253.138,253.152,302.445,214.652,207.822,212.961,239.610,229.644
AC,Assis Brasil,Norte,85.322,91.743,89.875,92.705,96.920,64.602,73.332,77.234,85.322,91.743
AC,Brasiléia,Norte,388.521,388.018,439.547,454.009,480.142,294.874,340.917,388.114,388.521,388.018
AC,Bujari,Norte,159.696,158.301,158.191,159.100,183.818,120.210,129.895,147.868,159.696,158.301
AC,Capixaba,Norte,177.480,170.990,164.238,152.806,145.318,158.800,149.067,160.134,177.480,170.990
AC,Cruzeiro do Sul,Norte,1.223.340,1.287.867,1.401.490,1.439.760,1.516.381,969.784,1.150.664,1.060.536,1.223.340,1.287.867
AC,Epitaciolândia,Norte,412.261,435.952,440.177,422.617,432.928,268.087,257.492,276.370,412.261,435.952
AC,Feijó,Norte,344.518,350.880,366.052,362.490,392.931,267.203,309.503,322.418,344.518,350.880
AC,Jordão,Norte,73.737,78.628,78.138,82.098,84.908,58.271,70.473,72.755,73.737,78.628
AC,Manoel Urbano,Norte,128.845,135.401,138.288,131.637,137.420,80.018,94.643,118.697,128.845,135.401
AC,Marechal Thaumaturgo,Norte,176.112,195.344,192.055,194.430,214.547,146.339,162.375,159.654,176.112,195.344
AC,Mâncio Lima,Norte,201.077,194.421,201.048,205.214,230.863,150.136,187.729,179.969,201.077,194.421
AC,Plácido de Castro,Norte,242.578,241.231,262.261,276.129,266.954,199.657,237.006,252.968,242.578,241.231
AC,Porto Acre,Norte,220.840,229.926,234.946,226.959,243.737,172.519,203.206,211.744,220.840,229.926
AC,Porto Walter,Norte,107.298,112.711,112.166,118.375,130.247,82.060,96.499,97.729,107.298,112.711
AC,Rio Branco,Norte,7.880.432,8.153.153,8.911.060,9.130.749,9.579.592,6.807.581,8.174.771,8.258.089,7.880.432,8.153.153
AC,Rodrigues Alves,Norte,183.719,185.008,187.068,190.863,202.691,152.053,171.505,166.470,183.719,185.008
AC,Santa Rosa do Purus,Norte,62.132,71.271,71.761,79.725,84.137,45.136,53.395,57.988,62.132,71.271
AC,Sena Madureira,Norte,476.246,500.512,520.298,539.331,580.935,426.881,478.781,462.253,476.246,500.512
AC,Senador Guiomard,Norte,325.553,359.782,371.144,360.656,357.580,290.838,325.673,337.471,325.553,359.782
AC,Tarauacá,Norte,424.497,470.854,487.948,482.624,519.834,335.520,387.146,398.537,424.497,470.854
AC,Xapuri,Norte,220.428,231.302,250.235,274.589,292.045,168.708,196.802,202.844,220.428,231.302
AL,Anadia,Nordeste,142.668,141.403,164.867,200.940,232.436,116.960,125.747,126.221,142.668,141.403
AL,Arapiraca,Nordeste,3.892.760,4.104.162,4.466.701,4.964.721,5.233.674,2.973.621,3.436.667,3.935.792,3.892.760,4.104.162
AL,Atalaia,Nordeste,622.204,766.075,763.995,948.281,1.077.112,363.297,416.620,493.818,622.204,766.075
AL,Barra de Santo Antônio,Nordeste,172.241,160.796,177.229,183.872,204.559,116.982,124.802,135.259,172.241,160.796
AL,Barra de São Miguel,Nordeste,158.460,171.264,194.584,214.359,227.378,114.710,125.504,144.500,158.460,171.264
AL,Batalha,Nordeste,161.695,174.238,167.211,170.568,190.692,115.255,121.649,147.463,161.695,174.238
AL,Belo Monte,Nordeste,64.308,83.338,79.110,100.408,116.390,61.633,57.952,70.829,64.308,83.338
AL,Belém,Nordeste,36.110,38.220,84.427,113.034,179.197,33.546,31.806,35.077,36.110,38.220
AL,Boca da Mata,Nordeste,267.986,268.988,329.475,352.915,450.512,271.561,325.783,298.136,267.986,268.988
AL,Branquinha,Nordeste,375.433,395.000,497.048,505.624,690.818,48.522,63.156,153.516,375.433,395.000
AL,Cacimbinhas,Nordeste,77.752,88.262,94.176,101.777,115.876,64.171,70.416,79.688,77.752,88.262
AL,Cajueiro,Nordeste,153.730,171.715,183.724,176.176,193.910,128.290,135.658,141.147,153.730,171.715
AL,Campestre,Nordeste,56.852,63.955,58.327,62.310,61.777,50.414,52.649,55.584,56.852,63.955
AL,Campo Alegre,Nordeste,446.781,496.451,459.429,521.383,606.217,302.642,341.644,396.667,446.781,496.451
AL,Campo Grande,Nordeste,70.688,83.662,85.648,92.791,91.062,55.729,59.237,68.112,70.688,83.662
AL,Canapi,Nordeste,100.616,108.273,117.407,125.447,134.880,75.418,78.908,93.293,100.616,108.273
AL,Capela,Nordeste,183.165,179.071,183.936,189.975,213.771,146.771,147.254,157.666,183.165,179.071
AL,Carneiros,Nordeste,55.012,57.365,61.911,66.066,70.792,41.716,44.463,50.470,55.012,57.365
AL,Chã Preta,Nordeste,82.702,108.854,115.658,115.608,135.112,41.215,61.743,66.184,82.702,108.854
AL,Coité do Nóia,Nordeste,82.804,102.268,98.586,130.875,147.470,66.925,71.212,83.835,82.804,102.268
AL,Colônia Leopoldina,Nordeste,227.030,252.184,257.649,263.536,368.572,134.270,177.864,219.758,227.030,252.184
AL,Coqueiro Seco,Nordeste,61.270,67.040,69.025,74.803,77.816,47.740,47.688,49.735,61.270,67.040
AL,Coruripe,Nordeste,1.469.182,1.376.189,1.272.690,1.401.650,1.735.605,1.035.988,1.067.009,1.240.701,1.469.182,1.376.189
AL,Craíbas,Nordeste,155.918,196.579,217.099,248.592,316.716,118.969,130.036,183.369,155.918,196.579
AL,Delmiro Gouveia,Nordeste,457.368,475.706,519.436,571.343,623.323,478.098,479.379,486.192,457.368,475.706
AL,Dois Riachos,Nordeste,69.888,77.918,73.701,77.901,86.124,55.688,57.866,66.858,69.888,77.918
AL,Estrela de Alagoas,Nordeste,98.663,104.607,116.202,116.730,127.020,79.613,86.360,94.368,98.663,104.607
AL,Feira Grande,Nordeste,182.496,284.595,324.947,328.283,350.251,133.838,143.314,172.527,182.496,284.595
AL,Feliz Deserto,Nordeste,107.823,108.823,125.353,102.975,126.801,102.874,76.865,86.503,107.823,108.823
AL,Flexeiras,Nordeste,118.835,175.287,144.362,213.006,269.941,76.129,91.505,99.087,118.835,175.287
AL,Girau do Ponciano,Nordeste,288.959,322.917,343.756,380.191,482.110,219.086,229.845,263.217,288.959,322.917
AL,Ibateguara,Nordeste,122.426,140.477,134.665,142.828,146.439,95.552,107.752,119.308,122.426,140.477
AL,Igaci,Nordeste,167.031,181.926,197.218,218.611,262.941,155.223,147.980,161.950,167.031,181.926
AL,Igreja Nova,Nordeste,332.172,384.927,350.831,385.218,438.268,294.400,308.680,341.475,332.172,384.927
AL,Inhapi,Nordeste,104.840,112.130,117.784,131.983,141.572,89.152,95.001,103.259,104.840,112.130
AL,Jacaré dos Homens,Nordeste,45.865,52.055,46.268,52.977,63.558,36.973,35.622,45.169,45.865,52.055
AL,Jacuípe,Nordeste,65.877,171.513,171.437,163.303,153.525,53.849,79.742,62.443,65.877,171.513
AL,Japaratinga,Nordeste,110.822,159.426,161.307,174.950,190.123,100.051,91.824,98.715,110.822,159.426
AL,Jaramataia,Nordeste,43.050,53.735,52.962,52.941,61.957,34.765,36.070,43.193,43.050,53.735
AL,Joaquim Gomes,Nordeste,227.526,315.272,261.104,341.902,338.476,117.418,128.941,146.176,227.526,315.272
AL,Jundiá,Nordeste,44.149,45.591,46.351,47.368,44.245,33.660,37.829,39.422,44.149,45.591
AL,Junqueiro,Nordeste,368.925,353.682,316.730,348.848,425.620,203.588,203.403,277.422,368.925,353.682
AL,Lagoa da Canoa,Nordeste,126.085,157.570,203.816,208.484,239.908,107.091,110.331,130.464,126.085,157.570
AL,Limoeiro de Anadia,Nordeste,501.225,458.698,409.364,508.746,541.608,157.758,254.247,378.463,501.225,458.698
AL,Maceió,Nordeste,21.305.268,21.841.866,22.397.272,23.367.034,22.872.756,16.456.725,18.266.729,20.690.141,21.305.268,21.841.866
AL,Major Isidoro,Nordeste,161.023,175.715,176.069,193.711,208.851,123.805,138.350,156.631,161.023,175.715
AL,Mar Vermelho,Nordeste,30.884,31.844,36.989,39.387,54.831,24.521,25.423,27.929,30.884,31.844
AL,Maragogi,Nordeste,521.556,673.421,629.145,692.510,722.600,299.635,416.748,442.984,521.556,673.421
AL,Maravilha,Nordeste,66.633,66.399,67.674,69.776,79.834,57.013,58.494,67.420,66.633,66.399
AL,Marechal Deodoro,Nordeste,1.639.965,1.922.611,1.925.916,2.404.106,2.835.700,1.238.951,1.242.757,1.488.214,1.639.965,1.922.611
AL,Maribondo,Nordeste,130.817,137.631,144.135,154.730,163.136,102.047,107.778,125.155,130.817,137.631
AL,Mata Grande,Nordeste,164.647,189.505,223.449,246.086,307.996,136.090,145.188,167.279,164.647,189.505
AL,Matriz de Camaragibe,Nordeste,271.013,298.468,287.551,305.530,312.881,204.861,223.959,237.393,271.013,298.468
AL,Messias,Nordeste,175.475,179.613,156.726,176.602,175.581,120.051,142.368,147.842,175.475,179.613
AL,Minador do Negrão,Nordeste,42.820,48.424,54.515,57.938,60.547,34.819,36.334,39.031,42.820,48.424
AL,Monteirópolis,Nordeste,51.791,51.895,56.573,60.397,71.505,38.666,41.416,48.752,51.791,51.895
AL,Murici,Nordeste,259.063,290.405,315.313,403.324,423.387,186.304,206.426,246.764,259.063,290.405
AL,Novo Lino,Nordeste,129.020,145.829,128.760,157.875,182.701,80.391,98.886,109.063,129.020,145.829
AL,Olivença,Nordeste,64.828,68.838,79.089,83.982,92.094,62.323,60.285,66.884,64.828,68.838
AL,Ouro Branco,Nordeste,69.508,76.940,77.415,82.891,94.348,56.462,60.038,65.590,69.508,76.940
AL,Palestina,Nordeste,34.697,33.400,37.090,39.043,38.730,27.399,26.768,30.936,34.697,33.400
AL,Palmeira dos Índios,Nordeste,724.987,778.477,828.891,943.218,997.069,658.389,732.347,934.494,724.987,778.477
AL,Pariconha,Nordeste,61.963,72.060,73.327,75.944,119.538,49.022,53.200,62.666,61.963,72.060
AL,Paripueira,Nordeste,154.748,151.348,165.570,169.741,180.548,96.661,115.024,118.982,154.748,151.348
AL,Passo de Camaragibe,Nordeste,156.191,266.555,242.857,228.044,273.482,130.447,158.434,128.744,156.191,266.555
AL,Paulo Jacinto,Nordeste,61.859,67.639,72.956,77.017,86.050,40.449,45.624,52.886,61.859,67.639
AL,Penedo,Nordeste,862.862,897.784,748.024,793.622,826.574,568.495,644.217,744.739,862.862,897.784
AL,Piaçabuçu,Nordeste,272.755,293.761,318.802,316.532,403.826,143.049,172.121,190.622,272.755,293.761
AL,Pilar,Nordeste,422.423,433.111,482.269,539.244,557.176,597.650,449.236,437.528,422.423,433.111
AL,Pindoba,Nordeste,29.218,32.628,35.363,37.647,44.144,24.122,24.435,25.131,29.218,32.628
AL,Piranhas,Nordeste,199.329,220.225,246.029,266.009,296.792,140.447,164.366,175.714,199.329,220.225
AL,Porto Calvo,Nordeste,318.330,343.267,328.011,350.482,341.389,204.273,220.200,250.531,318.330,343.267
